"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.000722644726226897,0.000109279432351252,0.00436092400887149,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.118125147687152,0.104117344763192,0.132466778730373,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.315855496608176,0.272947982269119,0.349285517672337,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.521243144238551,0.455964615079061,0.556532041056599,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.000890020507211231,0.000511685437912266,0.00302112025967226,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.181840527052499,0.155104292332651,0.226702937002096,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.576609778729212,0.519157274849478,0.622442696021475,0.9988
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.0814960627491963,0.0169170688972171,0.23343578311167,0.0012
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00150260517646392,0.000101234708785066,0.0281701876299234,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0416227634981374,0.0299877878495426,0.0643918124485011,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.254508544071833,0.219608305267008,0.285021192367136,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.600785614110888,0.542302378477754,0.637850579456975,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00135265129431613,8.39822182427636e-05,0.0276835345611085,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.107818260095255,0.0953147233927116,0.119220927978572,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.332315080694204,0.287461570651229,0.363374740435491,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.52212181816433,0.456210204755248,0.560183551235611,0.995
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.0467251887158586,0.00964948309174136,0.195811057753412,0.005
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000276815131779275,6.33357016953614e-05,0.0014378876277188,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.106059353479492,0.0938312054570038,0.117850117272805,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.396190227949962,0.343387774974793,0.429290135651421,0.5268
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.394249311530551,0.337109503181144,0.430830156499045,0.4732
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0771212100404514,0.0665532970725802,0.0876430536730962,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.196301071883685,0.168445320559159,0.228583824782701,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.613029140709781,0.558603199380299,0.64597918552899,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0225966362635752,0.00670167061597946,0.0708477740120381,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000303279858731436,7.04224564704933e-05,0.00162785446775447,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.115169678212938,0.10049105046416,0.132025345795589,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.165128406908245,0.14131018332509,0.199076021538309,0
"29","SIMPSON, Scott","National Party",2017,"Coromandel",0.587306438,0.62699651310188,0.559364879359994,0.676629390566967,0.9986
"30","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Coromandel",0.082964488,0.0762107944072082,0.0160862401826315,0.233621070937763,0.0014
"31","PURCHAS, Sam","ACT",2017,"Dunedin North",NA,0.000939020363318716,0.000531904458044958,0.00373054791714668,0
"32","BOULD, Niki","Green Party",2017,"Dunedin North",0.173691193,0.162687836881416,0.143317679227491,0.183219504206182,0
"33","CLARK, David","Labour Party",2017,"Dunedin North",0.473925911,0.444587395579277,0.38419213038326,0.47872575022985,0.996
"34","WOODHOUSE, Michael","National Party",2017,"Dunedin North",0.30207164,0.337639276874699,0.276435911006886,0.372875209859358,0.004
"35","VOIGHT, Warren","New Zealand First Party",2017,"Dunedin North",NA,0.024112926471841,0.00732200009082071,0.0790422807012959,0
"36","DOUGHTY, Dan","ACT",2017,"Dunedin South",0.003875574,0.000279301477804385,6.64911444924793e-05,0.00140721404369282,0
"37","GALLAGHER, Shane","Green Party",2017,"Dunedin South",0.075879653,0.0940407518260128,0.0832359291649574,0.10415770777132,0
"38","CURRAN, Clare","Labour Party",2017,"Dunedin South",0.490668027,0.459984955877775,0.40032425657281,0.495502493955528,0.9088
"39","GREGORY, Matt","National Party",2017,"Dunedin South",0.38663947,0.408236128117292,0.349859856249915,0.444624813197588,0.0912
"40","RUSHTON, Kerry","New Zealand First Party",2017,"Dunedin South",NA,0.0310680809001469,0.00968688733383534,0.0839546638229154,0
"41","HUGHES, Gareth","Green Party",2017,"East Coast",0.07762604,0.0854210067843258,0.0743063175007153,0.0975696026249424,0
"42","ALLAN, Kiri","Labour Party",2017,"East Coast",0.293870007,0.279747362906844,0.241266273504716,0.317648601255233,0
"43","TOLLEY, Anne","National Party",2017,"East Coast",0.523873088,0.571033564871139,0.502689852492661,0.618492030729426,0.9998
"44","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"East Coast",0.028818737,0.0486396305389351,0.00994673709630256,0.155258621822539,2e-04
"45","TURNER, Judy","United Future",2017,"East Coast",NA,0.00235243359980175,0.000435563259530492,0.0442923896682341,0
"46","BERRY, Stephen","ACT",2017,"East Coast Bays",0.01690896,0.0013770233071395,0.000154218762240698,0.00802660134130224,0
"47","MAYNE, Nicholas","Green Party",2017,"East Coast Bays",0.099446381,0.089925101694453,0.0774187126319402,0.104036629835176,0
"48","CHEN, Naisi","Labour Party",2017,"East Coast Bays",0.12148862,0.150495486969962,0.127346700610946,0.186009386563632,0
"49","STANFORD, Erica","National Party",2017,"East Coast Bays",0.619233135,0.607138226053187,0.552300390400638,0.645666030275365,1
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.156001477878178,0.0327178984971471,0.406815842113437,0.2496
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0821770122207803,0.0703930456639412,0.096896615032693,0.0204
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.0875533990176799,0.0740776058685663,0.106183912386453,0.0468
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.433686366891234,0.00338302541965611,4.4293628176106,0.6786
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.0321078346665318,0.0131968297268069,0.0611995588481923,0.0046
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.000415666889085832,7.97201359987338e-05,0.00251643850344925,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0887172674234291,0.0775604391241732,0.0992845139317638,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.27755882398779,0.239849272977758,0.310023048236908,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.598164464550014,0.529240866371672,0.641802166480999,0.9948
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.0584098682001917,0.0115800462956962,0.260055371492596,0.0052
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0696669454542166,0.0524908286332134,0.0935099061968016,0
"61","GAURAV, Sharma","Labour Party",2017,"Hamilton West",0.354278628,0.317928911183397,0.274595553007054,0.355732836345142,0
"62","MACINDOE, Tim","National Party",2017,"Hamilton West",0.531004547,0.568740085556003,0.49980851692076,0.616415317485405,1
"63","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton West",0.02618708,0.042025431026409,0.00869201530746231,0.14286211914764,0
"64","TODD, Quentin","United Future",2017,"Hamilton West",0.002170094,0.00135657295505495,8.20332669334885e-05,0.0221003676617584,0
"65","EVANS, Alex","ACT",2017,"Helensville",0.008691207,0.000578156316449425,0.000100843859275395,0.00330317483776114,0
"66","HOLT, Hayley","Green Party",2017,"Helensville",0.12791411,0.118809520170596,0.104447553967156,0.132142013270134,0
"67","TAOGAGA, Kurt","Labour Party",2017,"Helensville",0.127709611,0.155069458498149,0.131977014583595,0.187152252932046,0
"68","PENK, Chris","National Party",2017,"Helensville",0.655623722,0.59650338971867,0.538339609565612,0.632952140244872,1
"69","PETERSON, Helen","New Zealand First Party",2017,"Helensville",NA,0.0261562628719321,0.00792469483876209,0.0783395928995881,0
"70","SMITH, Anthony","ACT",2017,"Hunua",0.012146166,0.000721705328223204,0.000115954098334522,0.00429217438826601,0
"71","KAUR, Baljit","Labour Party",2017,"Hunua",0.17858981,0.179113046639491,0.153003674434097,0.217326764742883,0
"72","BAYLY, Andrew","National Party",2017,"Hunua",0.675553268,0.629070535852911,0.572430489782701,0.667540456031835,1
"73","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hunua",0.052282242,0.0472687948478098,0.00965319644256287,0.162826315914146,0
"74","PARKINS, Andy","ACT",2017,"Hutt South",0.004687182,0.000426350075500311,8.09320335743044e-05,0.00245683511994965,0
"75","RUTHVEN, Susanne","Green Party",2017,"Hutt South",0.083452211,0.0987800712118151,0.0872504925158539,0.10978173158983,0
"76","ANDERSEN, Ginny","Labour Party",2017,"Hutt South",0.438047687,0.358080509560186,0.309062369826367,0.390593427162095,0.006
"77","BISHOP, Chris","National Party",2017,"Hutt South",0.419604646,0.447201113667048,0.391361616195098,0.481079676249138,0.9934
"78","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hutt South",0.028924775,0.0283211263991546,0.00572242799582644,0.117405532045495,6e-04
"79","GILBERT, Paul","ACT",2017,"Ilam",0.011722365,0.000785627492423731,0.000122449501676447,0.00463583074203128,0
"80","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ilam",0.122056555,0.114134610472197,0.101025184332173,0.125654340700599,0
"81","RIMELL, Anthony","Labour Party",2017,"Ilam",0.23496144,0.227994028097185,0.196045109335699,0.256973974019908,0
"82","BROWNLEE, Gerry","National Party",2017,"Ilam",0.580771208,0.641046714638905,0.579897154920502,0.675067442888875,1
"83","SURENDRAN, Rochelle","Green Party",2017,"Invercargill",0.074243813,0.0779306652302555,0.0669775124549849,0.0895276290396739,0
"84","CRAIG, Liz","Labour Party",2017,"Invercargill",0.298502903,0.294561257439519,0.254313849595469,0.328293279668549,0
"85","DOWIE, Sarah","National Party",2017,"Invercargill",0.520928811,0.505610536571238,0.447551730463331,0.544723844657851,0.9972
"86","BOND, Ria","New Zealand First Party",2017,"Invercargill",0.07505856,0.0645857641715798,0.0133961739506615,0.202307512697164,0.0028
"87","EVANS, Richard","ACT",2017,"Kaikoura",0.003666735,0.000286622512871847,6.45322023643235e-05,0.00157113523008376,0
"88","McCUBBIN, Richard","Green Party",2017,"Kaikoura",0.083825626,0.087583309421521,0.0758933437908348,0.0990117020857272,0
"89","WALKER, Janette","Labour Party",2017,"Kaikoura",0.229374618,0.222716528688597,0.191610105721372,0.258903239455062,0
"90","SMITH, Stuart","National Party",2017,"Kaikoura",0.577408841,0.560115593057277,0.50496014190649,0.597600925013947,1
"91","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Kaikoura",0.016902274,0.0320926991859912,0.00665570373991265,0.108656104321744,0
"92","FOSTER, John","United Future",2017,"Kaikoura",NA,0.00259830265126681,0.000434520663736055,0.0402066718258958,0
"93","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Kelston",0.069263618,0.0863616830146828,0.0757303181943912,0.0962010625096036,0
"94","SEPULONI, Carmel","Labour Party",2017,"Kelston",0.509009478,0.461583345127437,0.443084500252537,0.491225527937721,1
"95","BEERAM, Bala","National Party",2017,"Kelston",0.327986668,0.348201197214385,0.285233618476712,0.381916010627676,0
"96","DEGIA-PALA, Anne","New Zealand First Party",2017,"Kelston",0.043224664,0.037931773555674,0.00786493740581447,0.135152654704454,0
"97","SHAN, Ng","ACT",2017,"Mana",NA,0.000864987724578772,0.00051227864315323,0.00272561620596064,0
"98","LOGIE, Jan","Green Party",2017,"Mana",0.084359606,0.0991957077564261,0.0875122691327897,0.109454959911007,0
"99","FAAFOI, Kris","Labour Party",2017,"Mana",0.548132184,0.486890328635913,0.42676699311014,0.519486469332207,0.9958
"100","MURREL, Euon","National Party",2017,"Mana",0.326252053,0.385991840045302,0.332218462311495,0.416550020177327,0.0042
"101","DYETT, Elaine","Green Party",2017,"Mangere",0.045608466,0.0510696757231984,0.0416692377005597,0.0617142219707512,0
"102","SIO, Sua William","Labour Party",2017,"Mangere",0.724973545,0.747587824046145,0.701484037368189,0.776487769269644,1
"103","LOHENI, Agnes","National Party",2017,"Mangere",0.152380952,0.187171190616388,0.150805691232104,0.222364328513606,0
"104","SINGH, Bhupinder","ACT",2017,"Manukau East",NA,0.00130919408893217,0.000548134260573955,0.00696121907454594,0
"105","PARDEEP SINGH, Raj","Green Party",2017,"Manukau East",0.026520396,0.0404453771116035,0.0326983161641582,0.0494580925570129,0
"106","SALESA, Jenny","Labour Party",2017,"Manukau East",0.69538822,0.630188097425243,0.589774807549162,0.656820230499496,1
"107","BAKSHI, Kanwaljit Singh","National Party",2017,"Manukau East",0.173926936,0.220811094207691,0.179401988695689,0.253518998558069,0
"108","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manukau East",0.077869291,0.0430597482752594,0.00863734759082887,0.145971476393003,0
"109","SINGH, Satnam","ACT",2017,"Manurewa",NA,0.00117937933108835,0.000540619385020861,0.00598081910255577,0
"110","TUIONO, Teanau","Green Party",2017,"Manurewa",0.043534068,0.050383613038777,0.0408809235754456,0.0621618030588945,0
"111","WALL, Louisa Hareruia","Labour Party",2017,"Manurewa",0.54230399,0.597985396215032,0.550746077347487,0.629767794097171,1
"112","BUNGARD, Katrina","National Party",2017,"Manurewa",0.295004813,0.311315234752332,0.253342108817451,0.350567027683783,0
"113","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manurewa",0.052454675,0.0465265754264995,0.00955457087009852,0.157495324409352,0
"114","SWARBRICK, Chloe","Green Party",2017,"Maungakiekie",0.062571817,0.079416694284439,0.0693979921361048,0.0891576080393343,0
"115","RADHAKRISHNAN, Priyanca","Labour Party",2017,"Maungakiekie",0.413350047,0.391738273863567,0.344627340352551,0.420744082468092,0.0448
"116","LEE, Denise","National Party",2017,"Maungakiekie",0.483860859,0.453445064857546,0.391129292804105,0.492090424457157,0.9552
"117","GENTER, Julie Anne","Green Party",2017,"Mt Albert",0.088277858,0.123637997947948,0.108944104928579,0.138501810451176,0
"118","ARDERN, Jacinda","Labour Party",2017,"Mt Albert",0.58714079,0.463195208298348,0.401111350168492,0.497439502449249,0.996
"119","LEE, Melissa","National Party",2017,"Mt Albert",0.288712012,0.362324199954995,0.310831297037353,0.390364397976969,0.004
"120","MENENDEZ MARCH, Ricardo","Green Party",2017,"Mt Roskill",0.050977148,0.0742765597774279,0.0647391437836139,0.0830219378478147,0
"121","WOOD, Michael","Labour Party",2017,"Mt Roskill",0.565194913,0.501447193584233,0.442141219696455,0.537408105677424,0.9958
"122","PARMAR, Parmjeet","National Party",2017,"Mt Roskill",0.319822149,0.390943600243978,0.338213602859926,0.42371381634383,0.0024
"123","BINDRA, Mahesh","New Zealand First Party",2017,"Mt Roskill",0.071978643,0.0266671191002666,0.00530742081384432,0.152323470188729,0.0018
"124","RUSDEN, Damon","Green Party",2017,"Napier",0.037916624,0.064313603088014,0.0557379952583555,0.0735101553594306,0
"125","NASH, Stuart","Labour Party",2017,"Napier",0.427275507,0.342493502929772,0.295152901690246,0.380517566314628,0.01
"126","Elliot, David","National Party",2017,"Napier",0.320048925,0.422529121484617,0.374087281082819,0.456265238331539,0.99
"127","HUFFLETT, Paul","ACT",2017,"Nelson",0.00519507,0.000339562732626348,7.75574907400097e-05,0.00188702604504912,0
"128","LAWREY, Matt","Green Party",2017,"Nelson",0.091983294,0.106878728202355,0.0942359776591711,0.119726899766246,0
"129","BOYACK, Rachel","Labour Party",2017,"Nelson",0.330752776,0.304225786739229,0.263495800381596,0.339848310738452,0
"130","SMITH, Nick","National Party",2017,"Nelson",0.533666089,0.550703956706261,0.479572485843871,0.597611438187516,1
"131","WELLS, Richard","ACT",2017,"New Lynn",NA,0.00277490979007375,0.000588926572996637,0.014841465755538,0
"132","LEILANI,Tamu","Green Party",2017,"New Lynn",0.079370013,0.0887512853688379,0.077609753739621,0.100121846213181,0
"133","RUSSELL, Deborah","Labour Party",2017,"New Lynn",0.508962802,0.427839632453728,0.377311025092941,0.46090514184675,0.7916
"134","GARCIA, Paulo","National Party",2017,"New Lynn",0.368666459,0.39936701602458,0.339870697131364,0.436714567738673,0.2084
"135","BRAMHALL, Stuart","Green Party",2017,"New Plymouth",0.054818293,0.0708424628951835,0.0613670083675727,0.0804964493175366,0
"136","HADDOCK, Corie","Labour Party",2017,"New Plymouth",0.319314006,0.278472887462914,0.239796257027003,0.311043726735371,0
"137","YOUNG, Jonathan","National Party",2017,"New Plymouth",0.584218048,0.632654677949472,0.570257662624006,0.671149524839698,1
"138","HAYCOCK, Bruce","ACT",2017,"Northcote",0.011072381,0.0011044279048025,0.000132974113871341,0.00641893498555323,0
"139","JAUNG, Rebekah","Green Party",2017,"Northcote",0.087758868,0.0974253834376597,0.0854774415372405,0.109441571003664,0
"140","HALBERT, Shanan","Labour Party",2017,"Northcote",0.290444946,0.275013315347154,0.237046062354327,0.30980852251318,0
"141","COLEMAN, Jonathan","National Party",2017,"Northcote",0.570125077,0.600241346320916,0.532354575126024,0.64485161430541,1
"142","NELSON, Craig","ACT",2017,"Northland",0.005773791,0.00036956217133152,7.7544142546148e-05,0.00201213848376967,0
"143","CLENDON, David","Green Party",2017,"Northland",0.105062378,0.10194379913664,0.0887408656144992,0.11710217493982,0
"144","PRIME, Willow-Jean","Labour Party",2017,"Northland",0.258995773,0.230712259810138,0.197444039136595,0.28058458708466,0
"145","KING, Matt","National Party",2017,"Northland",0.527477059,0.508046600660023,0.446928561246336,0.557742978763316,1
"146","KEARNEY, Nick","ACT",2017,"North Shore",0.015264829,0.0011316468931684,0.000146748438171742,0.00658451011791652,0
"147","GRAHAM, Kennedy","Green Party",2017,"North Shore",0.09896527,0.098325424828192,0.0865270278689102,0.109860745374038,0
"148","UDANGA, Romy","Labour Party",2017,"North Shore",0.193320357,0.191683425347406,0.164607541984767,0.22470306369309,0
"149","BARRY, Maggie","National Party",2017,"North Shore",0.631492675,0.683721444170824,0.62110317508276,0.720127213278354,1
"150","MOORE, Andi","ACT",2017,"Ohariu",0.005696846,0.00645265818621355,0.00274070439086182,0.0157731662880167,0
"151","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ohariu",0.075076297,0.082948667154147,0.0608789641474904,0.112809653269232,0
"152","O'CONNOR, Greg","Labour Party",2017,"Ohariu",0.349338759,0.341182834500308,0.287026214902436,0.400715616443162,0.5224
"153","HUDSON, Brett","National Party",2017,"Ohariu",0.166225839,0.179353812730668,0.151781819427359,0.211849941338451,0
"154","DUNNE, Peter","United Future",2017,"Ohariu",0.368565615,0.338671504363592,0.256307938292562,0.411815543916452,0.4776
