"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,11
"3","Green Party",14,13,9,18
"4","Labour Party",5,12,4,17
"5","Mana",0,0,0,2
"6","Maori Party",1,0,0,2
"7","National Party",19,14,2,20
"8","New Zealand First Party",11,7,1,24
"9","United Future",0,0,0,8
