"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"58","Coromandel",2017,"Labour Party",0.1571,0.16055860316215,0.117317056955335,0.234348457488321
"59","Coromandel",2017,"Mana",0.0068,0.000550743254773342,5e-04,0.0204450581636471
"60","Coromandel",2017,"Maori Party",0.0049,0.00631661754826643,0.00236507810654005,0.0275304332527394
"61","Coromandel",2017,"National Party",0.5417,0.555874066601333,0.441186751286374,0.649271064697008
"62","Coromandel",2017,"New Zealand First Party",0.125,0.084893552247632,0.0227831574943836,0.219917818958008
"63","Coromandel",2017,"United Future",0.0017,0.00232653706599171,5e-04,0.0831182430482276
"64","Dunedin North",2017,"ACT",0.0032,5e-04,5e-04,0.00282731649195474
"65","Dunedin North",2017,"Conservative Party",0.0273,0.00272363256851522,5e-04,0.0870086250807015
"66","Dunedin North",2017,"Green Party",0.2294,0.233762745546267,0.18417983139798,0.260808223510055
"67","Dunedin North",2017,"Labour Party",0.3182,0.320663125378621,0.237621180924174,0.373867124064477
"68","Dunedin North",2017,"Mana",0.0172,0.0013930564679561,5e-04,0.0273045732014633
"69","Dunedin North",2017,"Maori Party",0.0035,0.00467833769173067,0.00168934150467147,0.0214084555185988
"70","Dunedin North",2017,"National Party",0.3226,0.333812556289484,0.222086751286374,0.410045115719113
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.0458425182137213,0.0123029050469672,0.169911656987298
"72","Dunedin North",2017,"United Future",0.0025,0.0030249597927343,5e-04,0.0700243418832619
"73","Dunedin South",2017,"ACT",0.0033,5e-04,5e-04,0.00291567013232833
"74","Dunedin South",2017,"Conservative Party",0.0293,0.00292316609001817,5e-04,0.0890776549194495
"75","Dunedin South",2017,"Green Party",0.1229,0.12730865317749,0.0960518902358054,0.155665137991613
"76","Dunedin South",2017,"Labour Party",0.3327,0.335179728644506,0.25166536108025,0.389639374542566
"77","Dunedin South",2017,"Mana",0.0082,0.00066413157193256,5e-04,0.0191901175322117
"78","Dunedin South",2017,"Maori Party",0.0025,0.0036729720721493,0.00120667250333676,0.0204765534027779
"79","Dunedin South",2017,"National Party",0.3987,0.409821691287246,0.298186751286374,0.48808405717072
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0.0618704208780742,0.0166043651819068,0.183478729753905
"81","Dunedin South",2017,"United Future",0.0017,0.00221051602250086,5e-04,0.0697257233271744
"82","East Coast",2017,"ACT",0.0023,5e-04,5e-04,0.00203213372859247
"83","East Coast",2017,"Conservative Party",0.0408,0.00407048383866012,5e-04,0.103047127706341
"84","East Coast",2017,"Green Party",0.0921,0.0975159704832664,0.0719803017959127,0.132116194325029
