"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,0,0,1
"2","Conservative Party",0,0,0,12
"3","Green Party",14,13,10,17
"4","Labour Party",32,32,24,39
"5","Mana",0,1,0,2
"6","Maori Party",2,2,1,4
"7","National Party",60,62,48,71
"8","New Zealand First Party",11,7,1,23
"9","United Future",1,1,0,9
