"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00246659716701899,0.000508783786547857,0.00968930561548795
"2","Conservative Party",0.0399,0.00103046049405503,2.81432747372197e-05,0.016846193219983
"3","Green Party",0.107,0.108889026484297,0.0862137466046685,0.130430071802909
"4","Labour Party",0.2513,0.263843118037666,0.215121937630025,0.312484196752512
"5","Mana",0.0142,0.00345029146964443,0.000180590884536648,0.0395041152728922
"6","Maori Party",0.0132,0.0134647890811326,0.00643909157891942,0.0262157716187741
"7","National Party",0.4704,0.452083350240213,0.378685311832662,0.516524023261426
"8","New Zealand First Party",0.0866,0.101411693188217,0.0397614597146466,0.22233263138461
"9","United Future",0.0022,0.00821382541277801,0.00105836208669039,0.060510517208667
