"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,1,0,1
"2","Conservative Party",0,0,0,1
"3","Green Party",14,13,10,16
"4","Labour Party",32,33,26,40
"5","Mana",0,1,0,4
"6","Maori Party",2,2,1,4
"7","National Party",60,58,47,66
"8","New Zealand First Party",11,12,4,28
"9","United Future",1,1,0,7
