Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"GENTER, Julie Anne ",Green Party,2017,Mt Albert,NA,NA,0.088277858,FALSE
"MENENDEZ MARCH, Ricardo",Green Party,2017,Mt Roskill,NA,NA,0.050977148,FALSE
"RUSDEN, Damon",Green Party,2017,Napier,NA,NA,0.037916624,FALSE
"LAWREY, Matt",Green Party,2017,Nelson,NA,NA,0.091983294,FALSE
"LEILANI,Tamu",Green Party,2017,New Lynn,NA,NA,0.079370013,FALSE
"BRAMHALL, Stuart",Green Party,2017,New Plymouth,NA,NA,0.054818293,FALSE
"GRAHAM, Kennedy ",Green Party,2017,North Shore,NA,NA,0.09896527,FALSE
"JAUNG, Rebekah",Green Party,2017,Northcote,NA,NA,0.087758868,FALSE
"CLENDON, David",Green Party,2017,Northland,NA,NA,0.105062378,FALSE
"FERGUSON, Sam",Green Party,2017,Otaki,NA,NA,0.065010733,FALSE
"SAGE, Eugenie ",Green Party,2017,Port Hills,NA,NA,0.07818888,FALSE
"GRAND-MEYER, Stefan",Green Party,2017,Rimutaka,NA,NA,0.04741952,FALSE
"CROSSEN, Teall",Green Party,2017,Rongotai,NA,NA,0.207744315,FALSE
"LECKINGER, Richard",Green Party,2017,Tamaki,NA,NA,0.103802672,FALSE
"MOORE, Robert ",Green Party,2017,Taranaki-King Country,NA,NA,0.094386181,FALSE
"SANDILANDS, Julie",Green Party,2017,Taupo,NA,NA,0.054391167,FALSE
"GHAHRAMAN, Golriz",Green Party,2017,Te Atatu,NA,NA,0.050264276,FALSE
"PERLEY, Chris ",Green Party,2017,Tukituki,NA,NA,0.061132693,FALSE
"GOODHUE, James",Green Party,2017,Upper Harbour,NA,NA,0.080833076,FALSE
"HART, John ",Green Party,2017,Wairarapa,NA,NA,0.042343623,FALSE
"WALL, Patrick",Green Party,2017,Waitaki,NA,NA,0.125204082,FALSE
"SHAW, James ",Green Party,2017,Wellington Central,NA,NA,0.133299075,FALSE
"FULTON, Kate",Green Party,2017,West Coast-Tasman,NA,NA,0.067392854,FALSE
"HOLWELL, Ash",Green Party,2017,Whangarei,NA,NA,0.087409374,FALSE
"WESLEY, Richard ",Green Party,2017,Wigram,NA,NA,0.078348168,FALSE
"WHITE, Helen",Labour Party,2017,Auckland Central,NA,NA,0.436301441,FALSE
"WARREN-CLARK, Angie",Labour Party,2017,Bay of Plenty,NA,NA,0.185374846,FALSE
"MAMEDOV, Tofik ",Labour Party,2017,Botany,NA,NA,0.233632193,FALSE
"WEB, Duncan",Labour Party,2017,Christchurch Central,NA,NA,0.389297174,FALSE
"WILLIAMS, Poto ",Labour Party,2017,Christchurch East,NA,NA,0.48087826,FALSE
"CHAPMAN, Cherie",Labour Party,2017,Clutha-Southland,NA,NA,0.198347107,FALSE
"BLOMFIELD, Nathaniel",Labour Party,2017,Coromandel,NA,NA,0.113386308,FALSE
"CLARK, David ",Labour Party,2017,Dunedin North,NA,NA,0.473925911,TRUE
"CURRAN, Clare ",Labour Party,2017,Dunedin South,NA,NA,0.490668027,TRUE
"ALLAN, Kiri",Labour Party,2017,East Coast,NA,NA,0.293870007,FALSE
"CHEN, Naisi",Labour Party,2017,East Coast Bays,NA,NA,0.12148862,FALSE
"DAVID, Parker",Labour Party,2017,Epsom,NA,NA,0.094345421,FALSE
"STRANGE, Jamie",Labour Party,2017,Hamilton East,NA,NA,0.271985119,FALSE
"GAURAV, Sharma",Labour Party,2017,Hamilton West,NA,NA,0.354278628,FALSE
"TAOGAGA, Kurt",Labour Party,2017,Helensville,NA,NA,0.127709611,FALSE
"KAUR, Baljit",Labour Party,2017,Hunua,NA,NA,0.17858981,FALSE
"ANDERSEN, Ginny",Labour Party,2017,Hutt South,NA,NA,0.438047687,FALSE
"RIMELL, Anthony",Labour Party,2017,Ilam,NA,NA,0.23496144,FALSE
"CRAIG, Liz",Labour Party,2017,Invercargill,NA,NA,0.298502903,FALSE
"WALKER, Janette ",Labour Party,2017,Kaikoura,NA,NA,0.229374618,FALSE
"SEPULONI, Carmel ",Labour Party,2017,Kelston,NA,NA,0.509009478,FALSE
"FAAFOI, Kris ",Labour Party,2017,Mana,NA,NA,0.548132184,TRUE
"SIO, Sua William ",Labour Party,2017,Mangere,NA,NA,0.724973545,TRUE
"SALESA, Jenny ",Labour Party,2017,Manukau East,NA,NA,0.69538822,FALSE
"WALL, Louisa Hareruia ",Labour Party,2017,Manurewa,NA,NA,0.54230399,TRUE
"RADHAKRISHNAN, Priyanca",Labour Party,2017,Maungakiekie,NA,NA,0.413350047,FALSE
"ARDERN, Jacinda",Labour Party,2017,Mt Albert,NA,NA,0.58714079,TRUE
"WOOD, Michael",Labour Party,2017,Mt Roskill,NA,NA,0.565194913,TRUE
"NASH, Stuart ",Labour Party,2017,Napier,NA,NA,0.427275507,FALSE
"BOYACK, Rachel",Labour Party,2017,Nelson,NA,NA,0.330752776,FALSE
"RUSSELL, Deborah",Labour Party,2017,New Lynn,NA,NA,0.508962802,FALSE
"HADDOCK, Corie",Labour Party,2017,New Plymouth,NA,NA,0.319314006,FALSE
"UDANGA, Romy",Labour Party,2017,North Shore,NA,NA,0.193320357,FALSE
"HALBERT, Shanan",Labour Party,2017,Northcote,NA,NA,0.290444946,FALSE
"PRIME, Willow-Jean ",Labour Party,2017,Northland,NA,NA,0.258995773,FALSE
"O'CONNOR, Greg",Labour Party,2017,Ohariu,NA,NA,0.349338759,FALSE
"McCANN, Rob ",Labour Party,2017,Otaki,NA,NA,0.348461617,FALSE
"KIRKER, Barry ",Labour Party,2017,Pakuranga,NA,NA,0.225124378,FALSE
"LEES-GALLOWAY, Iain ",Labour Party,2017,Palmerston North,NA,NA,0.500816827,TRUE
"PABLA, Jesse",Labour Party,2017,Papakura,NA,NA,0.313940152,FALSE
"DYSON, Ruth",Labour Party,2017,Port Hills,NA,NA,0.464431725,TRUE
"LUXTON, Jo",Labour Party,2017,Rangitata,NA,NA,0.269070879,FALSE
"WARREN, Heather",Labour Party,2017,Rangitikei,NA,NA,0.277663934,FALSE
"HIPKINS, Chris ",Labour Party,2017,Rimutaka,NA,NA,0.529892693,TRUE
"LUBECK, Marja",Labour Party,2017,Rodney,NA,NA,0.110907238,FALSE
"EAGLE, Paul",Labour Party,2017,Rongotai,NA,NA,0.498258554,FALSE
"SANDFORD, Ben",Labour Party,2017,Rotorua,NA,NA,0.340098401,FALSE
"CONDON, Tony",Labour Party,2017,Selwyn,NA,NA,0.108955376,FALSE
"McDONALD, Sam",Labour Party,2017,Tamaki,NA,NA,0.143165468,FALSE
"HUMPHREY, Hilary",Labour Party,2017,Taranaki-King Country,NA,NA,0.169545548,FALSE
