Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election,Mixer
"MALLARD, Trevor",Labour Party,1999,Hutt South,0.548606733,0.4218,0.449858848,0.449858848,0.449858848,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MASON, Cliff",Green Party,1999,Hutt South,0.033665364,0.0458,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"PARR, Gordon",Alliance,1999,Hutt South,0.035430589,0.0767,0.068170153,NA,0.068170153,FALSE,NA,NA,FALSE,FALSE,FALSE
"RADOMSKE, Clare",National Party,1999,Hutt South,0.268534863,0.3023,0.371070191,NA,0.371070191,FALSE,NA,NA,FALSE,FALSE,FALSE
"PERRY, Edwin",New Zealand First Party,1999,Hutt South,0.015193544,0.0246,0.065507507,NA,0.065507507,FALSE,NA,NA,FALSE,FALSE,FALSE
"MILNE, Christopher",ACT,2002,Hutt South,0.067271103,0.0803,0.036722986,0.036722986,0.036722986,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"SUTHERLAND, Anna",Alliance,2002,Hutt South,0.019225042,0.015,NA,0.04939119,0.035430589,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"MALLARD, Trevor",Labour Party,2002,Hutt South,0.490850733,0.454,0.548606733,0.548606733,0.548606733,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"WEDDELL, Ross William",Jim Anderton's Progressive,2002,Hutt South,0.018728699,0.0182,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"HARPHAM, Percy",Green Party,2002,Hutt South,0.057112604,0.0643,0.033665364,NA,0.033665364,FALSE,NA,NA,FALSE,FALSE,FALSE
"TOWNLEY, Richard Paul",National Party,2002,Hutt South,0.233711657,0.1856,0.268534863,NA,0.268534863,FALSE,NA,NA,FALSE,FALSE,FALSE
"SMITH, Murray",United Future,2002,Hutt South,0.096290659,0.0876,0.005610894,NA,0.005610894,FALSE,NA,NA,FALSE,FALSE,FALSE
"SMITH, Murray",United Future,2005,Hutt South,0.060116086,0.0388,0.096290659,0.096290659,0.096290659,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"MALLARD, Trevor",Labour Party,2005,Hutt South,0.509328358,0.4754,0.490850733,0.490850733,0.490850733,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"ROPATA, Maraea ",Maori Party,2005,Hutt South,0.010157546,0.0059,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"BRUCE, Paul ",Green Party,2005,Hutt South,0.054311774,0.056,0.057112604,NA,0.057112604,FALSE,NA,NA,FALSE,FALSE,FALSE
"THOMAS, Rosemarie ",National Party,2005,Hutt South,0.328047264,0.3509,0.233711657,NA,0.233711657,FALSE,NA,NA,FALSE,FALSE,FALSE
"LEVARKO, Howard ",New Zealand First Party,2005,Hutt South,0.022077114,0.0386,0.015193544,NA,0.015193544,FALSE,NA,NA,FALSE,FALSE,FALSE
"SMITH, Murray",United Future,2008,Hutt South,0.02395087,0.0142,0.060116086,0.060116086,0.060116086,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"MALLARD, Trevor",Labour Party,2008,Hutt South,0.492732856,0.4279,0.509328358,0.509328358,0.509328358,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"MITCHELL, Lindsay ",ACT,2008,Hutt South,0.019344933,0.0275,0.067271103,NA,0.067271103,FALSE,NA,NA,FALSE,FALSE,FALSE
"HORROCKS, Virginia ",Green Party,2008,Hutt South,0.07778915,0.0769,0.054311774,NA,0.054311774,FALSE,NA,NA,FALSE,FALSE,FALSE
"QUINN, Paul ",National Party,2008,Hutt South,0.372159672,0.3783,0.328047264,NA,0.328047264,FALSE,NA,NA,FALSE,FALSE,FALSE
"QUINN, Paul ",National Party,2011,Hutt South,0.343271222,0.4105,0.372159672,0.372159672,0.372159672,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"MALLARD, Trevor",Labour Party,2011,Hutt South,0.49378882,0.357,0.492732856,0.492732856,0.492732856,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"COPELAND, Gordon",Conservative Party,2011,Hutt South,0.031677019,0.0203,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE
"SPEIRS, Alex ",ACT,2011,Hutt South,0.005383023,0.0076,0.019344933,NA,0.019344933,FALSE,NA,NA,FALSE,FALSE,FALSE
"WALKER, Holly ",Green Party,2011,Hutt South,0.115217391,0.1197,0.07778915,NA,0.07778915,FALSE,NA,NA,FALSE,FALSE,FALSE
"EADDY, Rob ",United Future,2011,Hutt South,0.010662526,0.0089,0.02395087,NA,0.02395087,FALSE,NA,NA,FALSE,FALSE,FALSE
"COPELAND, Gordon",Conservative Party,2014,Hutt South,0.02231506,0.0357,0.031677019,0.031677019,0.031677019,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"WALKER, Holly ",Green Party,2014,Hutt South,0.083452211,0.1275,0.115217391,0.115217391,0.115217391,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"MALLARD, Trevor",Labour Party,2014,Hutt South,0.438047687,0.2798,0.49378882,0.49378882,0.49378882,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
"O'SULLIVAN, Grae ",ACT,2014,Hutt South,0.004687182,0.0066,0.005383023,NA,0.005383023,FALSE,NA,NA,FALSE,FALSE,FALSE
"BISHOP, Chris ",National Party,2014,Hutt South,0.419604646,0.453,0.343271222,NA,0.343271222,FALSE,NA,NA,FALSE,FALSE,FALSE
"PARORO, Mataroa ",New Zealand First Party,2014,Hutt South,0.02618708,0.0748,0.022077114,NA,0.022077114,FALSE,NA,NA,FALSE,FALSE,FALSE
"STONYER, Dave ",United Future,2014,Hutt South,0.002751172,0.0035,0.010662526,NA,0.010662526,FALSE,NA,NA,FALSE,FALSE,FALSE
