Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Candidate Previous Vote,Previous Candidate Vote electorate,Same Candidate,Same Electorate,Same Party,Incumbent,No Candidate Run Last Election
"MAHUTA, Nanaia",Labour Party,2005,Tainui,0.544617408,0.5568,0.489382239,0.489382239,0.489382239,TRUE,TRUE,TRUE,TRUE,FALSE
"CURTIS, Mikaere ",Green Party,2008,Tamaki Makaurau,0.047754286,0.0404,0.12823635,NA,0.12823635,FALSE,NA,NA,FALSE,FALSE
"CURTIS, Mikaere ",Green Party,2011,Tamaki Makaurau,0.084634435,0.0971,0.047754286,0.047754286,0.047754286,TRUE,TRUE,TRUE,FALSE,FALSE
"DAVIDSON, Marama ",Green Party,2014,Tamaki Makaurau,0.159322034,0.1181,0.084634435,NA,0.084634435,FALSE,NA,NA,FALSE,FALSE
"HENARE, Peeni ",Labour Party,2014,Tamaki Makaurau,0.382733051,0.4084,0.350920642,NA,0.350920642,FALSE,NA,NA,FALSE,FALSE
"JONES, Shane ",Labour Party,2011,Tamaki Makaurau,0.350920642,0.415,0.273482697,0.29241619,0.273482697,FALSE,FALSE,TRUE,FALSE,FALSE
"McLEAN, Rangi ",Maori Party,2014,Tamaki Makaurau,0.308474576,0.1284,0.404005599,NA,0.404005599,FALSE,NA,NA,FALSE,FALSE
"NGATAI, George",National Party,2002,Tamaki Makaurau,0.050307613,0.0319,0.042257085,0.036934919,NA,NA,FALSE,TRUE,FALSE,TRUE
"PENE, Kereama ",Mana,2011,Tamaki Makaurau,0.160439324,0.1368,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"PENE, Kereama ",Mana,2014,Tamaki Makaurau,0.133368644,0.1082,0.160439324,0.160439324,NA,NA,TRUE,FALSE,FALSE,TRUE
"SHARPLES, Pita ",Maori Party,2005,Tamaki Makaurau,0.542729938,0.2748,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"SHARPLES, Pita ",Maori Party,2008,Tamaki Makaurau,0.659829599,0.2861,0.542729938,0.542729938,0.542729938,TRUE,TRUE,TRUE,TRUE,FALSE
"SHARPLES, Pita ",Maori Party,2011,Tamaki Makaurau,0.404005599,0.1445,0.659829599,0.659829599,0.659829599,TRUE,TRUE,TRUE,TRUE,FALSE
"SMITH, Janice",Alliance,2002,Tamaki Makaurau,0.035247372,0.0291,0.093560223,NA,NA,NA,NA,NA,FALSE,TRUE
"TAMIHERE, John",Labour Party,2002,Tamaki Makaurau,0.733465778,0.5597,0.60298583,0.60298583,NA,NA,FALSE,TRUE,FALSE,TRUE
"TAMIHERE, John",Labour Party,2005,Tamaki Makaurau,0.42751656,0.5514,0.733465778,0.733465778,0.733465778,TRUE,TRUE,TRUE,TRUE,FALSE
"TUREI, Metiria",Green Party,2002,Tamaki Makaurau,0.12823635,0.1026,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"WALL, Louisa Hareruia ",Labour Party,2008,Tamaki Makaurau,0.273482697,0.4973,0.42751656,0.260599793,0.42751656,FALSE,FALSE,TRUE,FALSE,FALSE
"WHAREWAKA-TOPIA WATTS, Sue Elizabeth",Jim Anderton's Progressive,2002,Tamaki Makaurau,0.022494232,0.0141,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"AWATERE-HUATA, Donna",ACT,1996,Te Puko O Te Whenua,0.049808429,0.0136,NA,NA,NA,NA,NA,NA,NA,NA
"JAMES, David Rewi",Alliance,1996,Te Puko O Te Whenua,0.08477686,0.0857,NA,NA,NA,NA,NA,NA,NA,NA
"TE HEUHEU, Timoti",National Party,1996,Te Puko O Te Whenua,0.047326102,0.0517,NA,NA,NA,NA,NA,NA,NA,NA
"TIRIKATENE, Rino",Labour Party,1996,Te Puko O Te Whenua,0.29075603,0.3195,NA,NA,NA,NA,NA,NA,NA,NA
"WAITAI, Rana",New Zealand First Party,1996,Te Puko O Te Whenua,0.419513248,0.4157,NA,NA,NA,NA,NA,NA,NA,NA
"ANDERSON, Lorraine Erana",New Zealand First Party,1999,Te Tai Hauauru,0.12325091,0.1252,0.518351987,NA,0.518351987,FALSE,NA,NA,FALSE,FALSE
"HIPPOLITE, James Te Kahupuku",United Future,2002,Te Tai Hauauru,0.050296069,0.0261,NA,NA,NA,NA,NA,NA,FALSE,TRUE
"JOSEPH, Te Pare",Alliance,1996,Te Tai Hauauru,0.066956649,0.0763,NA,NA,NA,NA,NA,NA,NA,NA
"KARAURIA, Merania",ACT,1996,Te Tai Hauauru,0.008161869,0.008,NA,NA,NA,NA,NA,NA,NA,NA
"MAHUTA, Nanaia",Labour Party,1996,Te Tai Hauauru,0.275890719,0.3228,NA,NA,NA,NA,NA,NA,NA,NA
"MAHUTA, Nanaia",Labour Party,1999,Te Tai Hauauru,0.521500224,0.5545,0.275890719,0.275890719,0.275890719,TRUE,TRUE,TRUE,FALSE,FALSE
"MANUEL, Kamaka",Alliance,2002,Te Tai Hauauru,0.042377114,0.02,0.068238451,NA,0.068238451,FALSE,NA,NA,FALSE,FALSE
