"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00330659966464237,0.000876727595755002,0.0107407761196751
"2","Conservative Party",0.0399,0.00153371153009692,0.000147089651126498,0.0124453004684755
"3","Green Party",0.107,0.109299270110232,0.0886942512568663,0.130692937975856
"4","Labour Party",0.2513,0.316203392263894,0.268054101165663,0.367940666903025
"5","Mana",0.0142,0.00139177543229485,0.000111704470489509,0.0105081596689017
"6","Maori Party",0.0132,0.014602778740091,0.00783826549439119,0.0245606314535937
"7","National Party",0.4704,0.415493282456677,0.358348371708201,0.46986836945323
"8","New Zealand First Party",0.0866,0.0999636085361024,0.0482185780257756,0.190802945043566
"9","United Future",0.0022,0.00268880663908068,0.000395562474208501,0.0141373003457494
