"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,1
"3","Green Party",14,13,10,16
"4","Labour Party",5,15,10,20
"5","Mana",0,0,0,0
"6","Maori Party",1,0,0,1
"7","National Party",19,11,5,15
"8","New Zealand First Party",11,12,5,23
"9","United Future",0,0,0,0
