"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.0230481855698374,0.00409917563855945,0.000408499107032987,0.0239693023374848
"2","Hauraki-Waikato","Conservative Party",0.0076,0.00408590228070674,0.00993120446008359,0.000624148609120751,0.0523309554788235
"3","Hauraki-Waikato","Green Party",0.0977,0.0934070264393038,0.105372135533599,0.0540786373941865,0.161323952491335
"4","Hauraki-Waikato","Labour Party",0.465,0.474584494415306,0.48607451036436,0.393252293734577,0.596524654215803
"5","Hauraki-Waikato","Mana",0.0808,0.0395918676347319,0.0667610814249261,0.0165208894736461,0.117166032512512
"6","Hauraki-Waikato","Maori Party",0.1197,0.0896011091293651,0.0923889984889068,0.0336251900228007,0.15215706146901
"7","Hauraki-Waikato","National Party",0.0757,0.126859125908457,0.0778701011719631,0.0304511830714505,0.125854143903933
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.147418964072826,0.142258684904934,0.00373578918939158,0.264284945840253
"9","Hauraki-Waikato","United Future",7e-04,0.00140332454946526,0.00282892173637997,0.000273095408869396,0.0100153507586482
"10","Ikaroa Rawhiti","ACT",0.0011,0.00122586235649649,0.00363583932623942,0.000345947092936438,0.0171256515919576
"11","Ikaroa Rawhiti","Conservative Party",0.006,0.00249270911779311,0.00863845690311761,0.000548541858553876,0.0435965266738363
"12","Ikaroa Rawhiti","Green Party",0.1043,0.159443402073092,0.112026619698747,0.0580464092651058,0.167375997058789
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.530312651307447,0.502941437611655,0.410070058122335,0.607110181338411
"14","Ikaroa Rawhiti","Mana",0.0987,0.0612529547381576,0.0849380417848339,0.0307771464379784,0.138912189390906
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.0661546039939179,0.096843928933786,0.0367562772826406,0.155074999996886
"16","Ikaroa Rawhiti","National Party",0.0545,0.0509742588033916,0.0570199920838093,0.0165165596322864,0.100375207033051
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.128042244825245,0.122428852132498,0.00326716389065181,0.238755721112462
"18","Ikaroa Rawhiti","United Future",3e-04,0.000101312784459076,0.00248217211123993,0.000221056346514114,0.00573736665840265
"19","Tamaki Makaurau","ACT",0.0019,0.000199815026821674,0.00405361214180165,0.00038901944779695,0.0228849487126561
"20","Tamaki Makaurau","Conservative Party",0.0062,0.001097258740839,0.00841453435196716,0.00057101947637902,0.0455970229949757
"21","Tamaki Makaurau","Green Party",0.1181,0.113681720392331,0.12533160182497,0.0675534773254879,0.186157292983752
"22","Tamaki Makaurau","Labour Party",0.4084,0.399334945067029,0.428420796449597,0.337955404593937,0.534626151293201
"23","Tamaki Makaurau","Mana",0.1082,0.0963499211928928,0.0931085525647629,0.0387952453380481,0.151987049285283
"24","Tamaki Makaurau","Maori Party",0.1284,0.0504583080606011,0.100355430640337,0.0407069655650565,0.161615455144594
