"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00393446374973909,0.00126828174191444,0.0098917326397128
"2","Conservative Party",0.0399,0.000912640019191922,0.000112297239289483,0.00532340067863405
"3","Green Party",0.107,0.108022178229252,0.0942586229763426,0.121253447833039
"4","Labour Party",0.2513,0.278643159819504,0.244097465364965,0.310385063835377
"5","Mana",0.0142,0.00227114491826781,0.000452897010067139,0.0107104340042253
"6","Maori Party",0.0132,0.0114664897801812,0.0059335428307339,0.0172946686012451
"7","National Party",0.4704,0.455421113881179,0.416489461899007,0.496688944995639
"8","New Zealand First Party",0.0866,0.11620177806081,0.0726387311035695,0.174844294335097
"9","United Future",0.0022,0.00141253616171545,0.000297269357801372,0.00517869941958212
