"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00251116053677034,0.000661400841685948,0.00603987174842568,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.11791344751372,0.106525102394123,0.130309484579759,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.330110343968679,0.308130447164109,0.350145982767809,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.506639013984097,0.481986668790421,0.527344303844433,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00190613548649884,0.000730289422983069,0.0068273120941532,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.198907908373735,0.175553829941611,0.2208974516175,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.561973870460896,0.539456970681337,0.585082039328762,1
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.164082107865517,0.103241170569255,0.233886129354813,0
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.000698190650425238,9.41559181733886e-05,0.00369857635398444,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0389231706617577,0.0330851365018799,0.0503475934090304,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.26859266763537,0.248638960159714,0.286140250061066,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.586381910447345,0.564425011504854,0.609261169314275,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.000568810916028811,7.26767993970115e-05,0.00350002910210721,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.106894983569726,0.0983682019549325,0.116145723255726,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.345133294754901,0.325215358911937,0.362931103142798,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.50676663516249,0.482242388601974,0.527777435331367,1
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.104479128501831,0.0588785055861185,0.177140976048728,0
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000639019877428145,0.000156602773663994,0.00234357821375062,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.104848498990203,0.0971760923592987,0.112596142101333,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.40858433163292,0.387965996797817,0.426717999605107,0.9276
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.381260853459457,0.360526061077848,0.39929860236446,0.0724
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0758005636256941,0.0692692972941409,0.0827692487517597,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.211796848299069,0.190569680103248,0.231500010345951,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.60061270617516,0.578951884661657,0.622572619918249,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0445413263709246,0.0255722974409723,0.0731546048292967,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000740672844522597,0.000170723878484856,0.00281260485966506,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.113567288455321,0.104566986656337,0.123016442516494,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.178004868706275,0.160053997197457,0.195269811302188,0
"29","SIMPSON, Scott","National Party",2017,"Coromandel",0.587306438,0.61028641442493,0.58598879975507,0.63589919216468,1
"30","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Coromandel",0.082964488,0.158024803236411,0.0978112264832191,0.23240447024915,0
"31","PURCHAS, Sam","ACT",2017,"Dunedin North",NA,0.00238596814303092,0.000849120290773994,0.00702160519756843,0
"32","BOULD, Niki","Green Party",2017,"Dunedin North",0.173691193,0.162014479461958,0.14660901861963,0.179595271747795,0
