"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,0,0,1
"2","Conservative Party",0,0,0,5
"3","Green Party",14,14,10,18
"4","Labour Party",32,31,24,39
"5","Mana",0,1,0,3
"6","Maori Party",2,2,1,4
"7","National Party",60,63,50,73
"8","New Zealand First Party",11,8,2,25
"9","United Future",1,0,0,2
