"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,4
"3","Green Party",14,14,10,18
"4","Labour Party",5,12,6,17
"5","Mana",0,0,0,2
"6","Maori Party",1,0,0,1
"7","National Party",19,15,5,20
"8","New Zealand First Party",11,8,2,25
"9","United Future",0,0,0,1
