"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,1,0,2
"2","Conservative Party",0,0,0,0
"3","Green Party",14,13,11,16
"4","Labour Party",32,27,23,32
"5","Mana",0,1,0,1
"6","Maori Party",2,2,1,3
"7","National Party",60,57,50,63
"8","New Zealand First Party",11,21,14,30
"9","United Future",1,0,0,1
