"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,0
"3","Green Party",14,13,12,15
"4","Labour Party",5,9,7,12
"5","Mana",0,0,0,0
"6","Maori Party",1,0,0,0
"7","National Party",19,11,9,14
"8","New Zealand First Party",11,18,15,21
"9","United Future",0,0,0,0
