"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,0
"3","Green Party",14,12,10,15
"4","Labour Party",5,14,9,18
"5","Mana",0,0,0,0
"6","Maori Party",1,0,0,1
"7","National Party",19,11,6,15
"8","New Zealand First Party",11,14,7,24
"9","United Future",0,0,0,0
