"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,1,0,1
"2","Conservative Party",0,0,0,0
"3","Green Party",0,0,0,0
"4","Labour Party",27,24,21,27
"5","Mana",0,1,0,1
"6","Maori Party",1,2,1,4
"7","National Party",41,44,40,46
"8","New Zealand First Party",0,0,0,0
"9","United Future",1,0,0,1
