"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00287542574036596,0.000832462664041015,0.00759705830576778
"2","Conservative Party",0.0399,0.00083414547298194,7.60505023451278e-05,0.00583535309588417
"3","Green Party",0.107,0.105985897379957,0.0885888190716803,0.120705601353101
"4","Labour Party",0.2513,0.305147131220515,0.267554962745418,0.342312278307424
"5","Mana",0.0142,0.00202278219675072,0.000310424799537734,0.011134894031434
"6","Maori Party",0.0132,0.0126294253389502,0.00716299671459951,0.019688074209315
"7","National Party",0.4704,0.429005839807993,0.383861409326218,0.475245848677811
"8","New Zealand First Party",0.0866,0.118365356645526,0.0643135746494472,0.198927659434982
"9","United Future",0.0022,0.000833533692412382,9.631658670786e-05,0.00553511816293947
