"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00487572190757706,0.00141156712598259,0.0123018749161745
"2","Auckland Central",2017,"Conservative Party",0.0173,5e-04,5e-04,0.00254286167654398
"3","Auckland Central",2017,"Green Party",0.2217,0.219677082938743,0.184973645801053,0.234023157334131
"4","Auckland Central",2017,"Labour Party",0.2167,0.265732551119676,0.231602327942028,0.303556242055391
"5","Auckland Central",2017,"Mana",0.0196,0.0027920092293179,5e-04,0.0153692903532469
"6","Auckland Central",2017,"Maori Party",0.0056,0.00535793802258495,0.00303884709104221,0.0116345976368537
"7","Auckland Central",2017,"National Party",0.4493,0.405096893009408,0.356889027905755,0.453170899722522
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.080639415847185,0.0384693206332721,0.15938033414393
"9","Auckland Central",2017,"United Future",0.0019,0.000719870007083421,5e-04,0.00503532540087916
"10","Bay of Plenty",2017,"ACT",0.0025,0.00104182092042245,5e-04,0.00327273754843826
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.00118923510757626,5e-04,0.00831942028279708
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0715934449104885,0.0594723893305126,0.0887105101917184
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.1908971593909,0.148442363903366,0.237409931919455
"14","Bay of Plenty",2017,"Mana",0.0051,0.000726492197424555,5e-04,0.00399915208171221
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00545361548727396,0.00309311221766797,0.0130611308389714
"16","Bay of Plenty",2017,"National Party",0.5766,0.532396893009408,0.484189027905755,0.58175048307527
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.174084426256344,0.103525546260196,0.254410007911704
"18","Bay of Plenty",2017,"United Future",0.0021,0.000795645797302728,5e-04,0.00588923409116906
"19","Botany",2017,"ACT",0.0241,0.0100431536728724,0.00290758698599833,0.0247590145560212
"20","Botany",2017,"Conservative Party",0.0453,0.00095180831048065,5e-04,0.00665847595071922
"21","Botany",2017,"Green Party",0.0435,0.0430748942407504,0.0357821429581922,0.0590184149573066
"22","Botany",2017,"Labour Party",0.2227,0.281122931116277,0.240125567539103,0.322244776074628
"23","Botany",2017,"Mana",0.0061,0.000868941647899958,5e-04,0.0047832995487146
"24","Botany",2017,"Maori Party",0.0021,0.00200922675846935,0.00113956765914083,0.0091912170497443
"25","Botany",2017,"National Party",0.5965,0.552296893009408,0.504089027905755,0.601315826859517
"26","Botany",2017,"New Zealand First Party",0.0544,0.0890859633754045,0.0404002131747105,0.168279923369001
"27","Botany",2017,"United Future",0.0015,0.000568318426644806,5e-04,0.00517054835379712
"28","Christchurch Central",2017,"ACT",0.0049,0.002041969004028,0.000591169138232026,0.00553479563476237
"29","Christchurch Central",2017,"Conservative Party",0.0311,0.000653448972537489,5e-04,0.00457127156881606
"30","Christchurch Central",2017,"Green Party",0.1582,0.156653983192798,0.130131839447954,0.171212957635777
"31","Christchurch Central",2017,"Labour Party",0.2625,0.312431369288882,0.277330040955966,0.350550564593561
"32","Christchurch Central",2017,"Mana",0.0103,0.00146722933989665,5e-04,0.00807671891012466
"33","Christchurch Central",2017,"Maori Party",0.0046,0.00440116337569478,0.00249619582478468,0.0107246229582482
"34","Christchurch Central",2017,"National Party",0.4466,0.402396893009408,0.354189027905755,0.450507064134231
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.10107455080261,0.0533966052805457,0.176891917201805
"36","Christchurch Central",2017,"United Future",0.0023,0.000871421587522036,5e-04,0.00548131902597254
"37","Christchurch East",2017,"ACT",0.0033,0.00137520361495763,5e-04,0.00392375344276169
"38","Christchurch East",2017,"Conservative Party",0.0326,0.000684965804010357,5e-04,0.00479175090493259
"39","Christchurch East",2017,"Green Party",0.1266,0.125362795652391,0.104138374678325,0.139697837892499
"40","Christchurch East",2017,"Labour Party",0.3216,0.371030295785854,0.336095185305689,0.409805159904379
"41","Christchurch East",2017,"Mana",0.0088,0.00125355516418355,5e-04,0.00690049770962107
"42","Christchurch East",2017,"Maori Party",0.004,0.00382709858756068,0.00217060506503015,0.0101044124296086
"43","Christchurch East",2017,"National Party",0.3979,0.353696893009408,0.305489027905755,0.401676849407075
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.123014473443433,0.07018051737151,0.197111987247076
"45","Christchurch East",2017,"United Future",0.0023,0.000871421587522036,5e-04,0.00545760761099121
"46","Clutha-Southland",2017,"ACT",0.0036,0.00150022212540833,5e-04,0.00431395415964615
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.00105896553748841,5e-04,0.00740810569351542
"48","Clutha-Southland",2017,"Green Party",0.0773,0.0765445821795403,0.0635852793257071,0.0920606750036817
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.202667162299305,0.163784363156873,0.242583739792353
"50","Clutha-Southland",2017,"Mana",0.0046,0.000655267472186854,5e-04,0.00360707834821101
"51","Clutha-Southland",2017,"Maori Party",0.0033,0.00315735633473756,0.00179074917864988,0.0100368491166514
"52","Clutha-Southland",2017,"National Party",0.6338,0.589596893009408,0.541389027905755,0.638232653702101
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0.0950197327223461,0.0463414209945209,0.172934150557833
"54","Clutha-Southland",2017,"United Future",0.002,0.000757757902193075,5e-04,0.00553345179695824
"55","Coromandel",2017,"ACT",0.0037,0.00154189496222522,5e-04,0.00446391638933551
"56","Coromandel",2017,"Conservative Party",0.0528,0.001109392467845,5e-04,0.00776087263130187
"57","Coromandel",2017,"Green Party",0.0982,0.0972403359641767,0.0807771595056202,0.114064340956482
"58","Coromandel",2017,"Labour Party",0.1571,0.216536443057402,0.174802068335305,0.261295788536294
"59","Coromandel",2017,"Mana",0.0068,0.00096865626323274,5e-04,0.00533220277561628
"60","Coromandel",2017,"Maori Party",0.0049,0.00468819576976183,0.00265899120466194,0.0121617339274778
"61","Coromandel",2017,"National Party",0.5417,0.497496893009408,0.449289027905755,0.546717922787692
"62","Coromandel",2017,"New Zealand First Party",0.125,0.159382132405617,0.092831372184537,0.240439685628715
"63","Coromandel",2017,"United Future",0.0017,0.000644094216864113,5e-04,0.00546101990814365
"64","Dunedin North",2017,"ACT",0.0032,0.00133353077814073,5e-04,0.00386787688554064
"65","Dunedin North",2017,"Conservative Party",0.0273,0.000573606332806221,5e-04,0.00401272391732085
"66","Dunedin North",2017,"Green Party",0.2294,0.227377082938743,0.192673645801053,0.242486218383955
"67","Dunedin North",2017,"Labour Party",0.3182,0.369441029959455,0.333618131265027,0.408568678544757
"68","Dunedin North",2017,"Mana",0.0172,0.00245013054817693,5e-04,0.0134873364324412
"69","Dunedin North",2017,"Maori Party",0.0035,0.00334871126411559,0.00189927943190138,0.00978804617774492
"70","Dunedin North",2017,"National Party",0.3226,0.278396893009408,0.230189027905755,0.326715993732491
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.0975047156809162,0.05012894097965,0.177580140487043
"72","Dunedin North",2017,"United Future",0.0025,0.000947197377741343,5e-04,0.00576494237207122
"73","Dunedin South",2017,"ACT",0.0033,0.00137520361495763,5e-04,0.00389489132641314
"74","Dunedin South",2017,"Conservative Party",0.0293,0.000615628774770045,5e-04,0.00430669636547623
"75","Dunedin South",2017,"Green Party",0.1229,0.121698954073292,0.101094836081881,0.135426338587913
