"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00454981672633116,0.00119718162317418,0.0126408110056109
"2","Auckland Central",2017,"Conservative Party",0.0173,0.000591977697995667,4.50655867366874e-05,0.00487984436316307
"3","Auckland Central",2017,"Green Party",0.2217,0.224917832991518,0.189266405235215,0.245385472085304
"4","Auckland Central",2017,"Labour Party",0.2167,0.270393086847353,0.227973311855566,0.317849777022761
"5","Auckland Central",2017,"Mana",0.0196,0.00538445643244866,0.000599537074026563,0.0317276222141149
"6","Auckland Central",2017,"Maori Party",0.0056,0.00698909725327023,0.00337706873863582,0.016351110147243
"7","Auckland Central",2017,"National Party",0.4493,0.387863741031153,0.328217058770607,0.444372231999138
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0757742867531895,0.0329316842935461,0.161879543074
"9","Auckland Central",2017,"United Future",0.0019,0.000609513179661763,5.15172107391254e-05,0.00465066831117199
"10","Bay of Plenty",2017,"ACT",0.0025,0.000972183061181871,0.000255808039139782,0.00372755651684257
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.00193675940500317,0.000147440012098064,0.0159652711534699
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0764721445576316,0.0609717444372272,0.103223694057969
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.196994291222189,0.144706410375912,0.255686829174115
"14","Bay of Plenty",2017,"Mana",0.0051,0.00140105754109633,0.00015600199375181,0.0211468682311483
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00745523539323682,0.00343737353754003,0.0192496160904677
"16","Bay of Plenty",2017,"National Party",0.5766,0.515163741031153,0.455517058770607,0.571672231999138
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.167986182503692,0.088623104064099,0.257275876721973
"18","Bay of Plenty",2017,"United Future",0.0021,0.000673672461731422,5.69400750274544e-05,0.0053925363211609
"19","Botany",2017,"ACT",0.0241,0.00937184470979324,0.0024659894973075,0.0251745494986764
"20","Botany",2017,"Conservative Party",0.0453,0.00155009189128345,0.000118004108622657,0.0127778583613461
"21","Botany",2017,"Green Party",0.0435,0.0475557353012421,0.0366842445784147,0.0724744031772776
"22","Botany",2017,"Labour Party",0.2227,0.287378194304058,0.236547420634901,0.338404005628202
"23","Botany",2017,"Mana",0.0061,0.00167577470601718,0.000186590619977656,0.0220656973577801
"24","Botany",2017,"Maori Party",0.0021,0.00380035311906123,0.00126640077698843,0.0147613909791351
"25","Botany",2017,"National Party",0.5965,0.535063741031153,0.475417058770607,0.591572231999138
"26","Botany",2017,"New Zealand First Party",0.0544,0.0830358143408179,0.0345846259762338,0.174324398634872
"27","Botany",2017,"United Future",0.0015,0.000481194615522444,4.06714821624674e-05,0.00470139193402661
"28","Christchurch Central",2017,"ACT",0.0049,0.00190547879991647,0.000501383756713972,0.00590722428890971
"29","Christchurch Central",2017,"Conservative Party",0.0311,0.00106419112183036,8.10138582376316e-05,0.00877243697655326
"30","Christchurch Central",2017,"Green Party",0.1582,0.161554021294888,0.133412586030005,0.183009379286704
"31","Christchurch Central",2017,"Labour Party",0.2625,0.318075381463372,0.27414931766128,0.365980702496416
"32","Christchurch Central",2017,"Mana",0.0103,0.00282958679868475,0.000315062850126205,0.0235731405146076
"33","Christchurch Central",2017,"Maori Party",0.0046,0.00605621997807859,0.00277402074959371,0.015712415243718
"34","Christchurch Central",2017,"National Party",0.4466,0.385163741031153,0.325517058770607,0.441672231999138
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.0963577544975185,0.0457101949943237,0.181553432979302
"36","Christchurch Central",2017,"United Future",0.0023,0.000737831743801081,6.23629393157834e-05,0.00511329090168
"37","Christchurch East",2017,"ACT",0.0033,0.00128328164076007,0.000337666611664512,0.00432339794280739
"38","Christchurch East",2017,"Conservative Party",0.0326,0.00111551866789935,8.49212790529491e-05,0.00919554486931307
"39","Christchurch East",2017,"Green Party",0.1266,0.129961669428215,0.106763801462696,0.152100150167925
"40","Christchurch East",2017,"Labour Party",0.3216,0.377030963658266,0.333120230450854,0.426471118707272
"41","Christchurch East",2017,"Mana",0.0088,0.00241751105130348,0.000269179910787436,0.0222741691873906
"42","Christchurch East",2017,"Maori Party",0.004,0.00546702071787425,0.00241219195616844,0.0153038780048487
"43","Christchurch East",2017,"National Party",0.3979,0.336463741031153,0.276817058770607,0.392972231999138
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.118505101344984,0.0600780726976855,0.202237885745666
"45","Christchurch East",2017,"United Future",0.0023,0.000737831743801081,6.23629393157834e-05,0.00513826243659225
"46","Clutha-Southland",2017,"ACT",0.0036,0.00139994360810189,0.000368363576361286,0.00472063080015118
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.00172460554791801,0.000131289339394748,0.0142164251967294
"48","Clutha-Southland",2017,"Green Party",0.0773,0.0811027846127115,0.0651883242738265,0.105123024902139
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.208541200437335,0.160282137590178,0.258045500597306
"50","Clutha-Southland",2017,"Mana",0.0046,0.00126369895863591,0.000140707680638888,0.0195321825446942
"51","Clutha-Southland",2017,"Maori Party",0.0033,0.00491975721625875,0.00199005836383897,0.0154890807872709
"52","Clutha-Southland",2017,"National Party",0.6338,0.572363741031153,0.512717058770607,0.628872231999138
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0.089629270454623,0.0396706003845034,0.176694278702577
"54","Clutha-Southland",2017,"United Future",0.002,0.000641592820696592,5.42286428832899e-05,0.00509280939670499
"55","Coromandel",2017,"ACT",0.0037,0.00143883093054917,0.000378595897926877,0.00490729330673178
"56","Coromandel",2017,"Conservative Party",0.0528,0.00180672962162839,0.000137541212699259,0.0148933978251451
"57","Coromandel",2017,"Green Party",0.0982,0.10226171567781,0.082813627990812,0.128266874875768
"58","Coromandel",2017,"Labour Party",0.1571,0.222395611772833,0.170982142617718,0.27869830016774
"59","Coromandel",2017,"Mana",0.0068,0.00186807672146178,0.000208002658335747,0.0225668233666691
"60","Coromandel",2017,"Maori Party",0.0049,0.00662776007689056,0.00295493514630634,0.0182042535557643
"61","Coromandel",2017,"National Party",0.5417,0.480263741031153,0.420617058770607,0.536772231999138
"62","Coromandel",2017,"New Zealand First Party",0.125,0.153339398793719,0.0794683501292136,0.244139746772808
"63","Coromandel",2017,"United Future",0.0017,0.000545353897592103,4.60943464507964e-05,0.00497501934145155
"64","Dunedin North",2017,"ACT",0.0032,0.0012443943183128,0.000327434290098921,0.00421461855685065
"65","Dunedin North",2017,"Conservative Party",0.0273,0.000934161338455591,7.11150588388193e-05,0.00770056364822843
"66","Dunedin North",2017,"Green Party",0.2294,0.232764110837343,0.196966405235215,0.254281780151121
"67","Dunedin North",2017,"Labour Party",0.3182,0.374455893372613,0.329926582436622,0.423098124683599
"68","Dunedin North",2017,"Mana",0.0172,0.00472513523663862,0.000526124371084537,0.0300128301378552
"69","Dunedin North",2017,"Maori Party",0.0035,0.00495832332299931,0.00211066796164739,0.0148010450075534
"70","Dunedin North",2017,"National Party",0.3226,0.261163741031153,0.201517058770607,0.317672231999138
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.092172107769919,0.0429129090697754,0.179244357644602
"72","Dunedin North",2017,"United Future",0.0025,0.00080199102587074,6.77858036041124e-05,0.00535454930020937
"73","Dunedin South",2017,"ACT",0.0033,0.00128328164076007,0.000337666611664512,0.00428337612661853
"74","Dunedin South",2017,"Conservative Party",0.0293,0.00100259806654758,7.63249532592485e-05,0.0082647075052415
"75","Dunedin South",2017,"Green Party",0.1229,0.126125553291513,0.103643532383613,0.147345491081007
"76","Dunedin South",2017,"Labour Party",0.3327,0.385943885076067,0.343718008206806,0.434083661437424
"77","Dunedin South",2017,"Mana",0.0082,0.00225268075235097,0.00025082673505193,0.0210188512331462
"78","Dunedin South",2017,"Maori Party",0.0025,0.00390103358807218,0.00150761997260528,0.0133143196892433
"79","Dunedin South",2017,"National Party",0.3987,0.337263741031153,0.277617058770607,0.393772231999138
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0.114023101600364,0.0579165335741709,0.195635356222429
"81","Dunedin South",2017,"United Future",0.0017,0.000545353897592103,4.60943464507964e-05,0.00442831076680852
"82","East Coast",2017,"ACT",0.0023,0.000894408416287322,0.000235343396008599,0.0034113808581676
"83","East Coast",2017,"Conservative Party",0.0408,0.00139610925307649,0.000106281846176698,0.0115085346830667
"84","East Coast",2017,"Green Party",0.0921,0.0958648791157733,0.0776694005901607,0.120155602069282
"85","East Coast",2017,"Labour Party",0.2274,0.288016540699824,0.240128745332129,0.34156733328315
"86","East Coast",2017,"Mana",0.0117,0.00321419082957394,0.000357886926842388,0.0259813461900368
"87","East Coast",2017,"Maori Party",0.0095,0.0110940739494923,0.00572895589590005,0.0217829171375293
"88","East Coast",2017,"National Party",0.4862,0.424763741031153,0.365117058770607,0.481272231999138
"89","East Coast",2017,"New Zealand First Party",0.1184,0.144554302220852,0.0752724212423911,0.230532529066832
"90","East Coast",2017,"United Future",0.0022,0.000705752102766251,5.96515071716189e-05,0.00525523062702433
"91","East Coast Bays",2017,"ACT",0.0176,0.00684416875072037,0.00180088859554407,0.0188749993913262
"92","East Coast Bays",2017,"Conservative Party",0.067,0.00229263039108148,0.000174531463084285,0.0188988192099379
"93","East Coast Bays",2017,"Green Party",0.0823,0.0869560045034587,0.0694049041104259,0.115817043186085
"94","East Coast Bays",2017,"Labour Party",0.1215,0.196608216835636,0.137964457937475,0.252900175993805
"95","East Coast Bays",2017,"Mana",0.0067,0.00184060500496969,0.000204943795713162,0.0249934185848805
"96","East Coast Bays",2017,"Maori Party",0.0038,0.0057625830002509,0.00229158235836002,0.0183912420148518
"97","East Coast Bays",2017,"National Party",0.6338,0.572363741031153,0.512717058770607,0.628872231999138
"98","East Coast Bays",2017,"New Zealand First Party",0.0596,0.0929926232040975,0.037890509341609,0.194220754607526
"99","East Coast Bays",2017,"United Future",0.0021,0.000673672461731422,5.69400750274544e-05,0.00580971433076194
"100","Epsom",2017,"ACT",0.0272,0.0105773517056588,0.00278319146584083,0.0281137143085464
"101","Epsom",2017,"Conservative Party",0.0248,0.000848615428340608,6.46026908132889e-05,0.00699538382696209
"102","Epsom",2017,"Green Party",0.1252,0.128661325870274,0.105583159108449,0.150087034922405
"103","Epsom",2017,"Labour Party",0.1342,0.19085679310007,0.146259060087528,0.237998931085465
"104","Epsom",2017,"Mana",0.0083,0.00228015246884305,0.000253885597674515,0.0219064847216914
"105","Epsom",2017,"Maori Party",0.0046,0.00609244065381282,0.00277402074959371,0.0158744782433531
"106","Epsom",2017,"National Party",0.636,0.574563741031153,0.514917058770607,0.631072231999138
"107","Epsom",2017,"New Zealand First Party",0.0348,0.060172987748494,0.0221239886759731,0.147487414124443
"108","Epsom",2017,"United Future",0.0016,0.000513274256557274,4.33829143066319e-05,0.00455155454071141
"109","Hamilton East",2017,"ACT",0.0072,0.00279988721620379,0.000736727152722572,0.00835185402166628
"110","Hamilton East",2017,"Conservative Party",0.0481,0.00164590331061223,0.000125297960811253,0.0135676597611644
"111","Hamilton East",2017,"Green Party",0.1102,0.11418795080665,0.0929334195986505,0.13908773428926
"112","Hamilton East",2017,"Labour Party",0.2377,0.302246480800433,0.251459139622235,0.353802058542721
"113","Hamilton East",2017,"Mana",0.01,0.0027471716492085,0.000305886262258451,0.0253061304857825
"114","Hamilton East",2017,"Maori Party",0.0064,0.00809822950981938,0.00385950712986951,0.0190916508145782
"115","Hamilton East",2017,"National Party",0.5003,0.438863741031153,0.379217058770607,0.495372231999138
"116","Hamilton East",2017,"New Zealand First Party",0.0714,0.100052507163543,0.0453923215938068,0.191829694885511
"117","Hamilton East",2017,"United Future",0.003,0.000962389231044888,8.13429643249349e-05,0.00619441878250906
"118","Hamilton West",2017,"ACT",0.0048,0.00186659147746919,0.000491151435148381,0.00592616807731576
"119","Hamilton West",2017,"Conservative Party",0.0467,0.00159799760094784,0.000121651034716959,0.0131727590612552
"120","Hamilton West",2017,"Green Party",0.0821,0.0859973052161018,0.069236240916962,0.110767801705238
"121","Hamilton West",2017,"Labour Party",0.2569,0.319305287175255,0.270130480607594,0.372619806491312
"122","Hamilton West",2017,"Mana",0.0072,0.00197796358743012,0.000220238108826085,0.0221928533576004
"123","Hamilton West",2017,"Maori Party",0.0056,0.00725401618136395,0.00337706873863582,0.018192084464859
"124","Hamilton West",2017,"National Party",0.4773,0.415863741031153,0.356217058770607,0.472372231999138
