"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.003130925081011,0.000919784231513721,0.00736228164449125,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.117989645709459,0.106852235123278,0.130986028576015,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.321389764584948,0.292393990576377,0.343123971865901,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.505799439216691,0.481683986030785,0.526105592036416,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00237395396969442,0.000884685201689811,0.0121082267043432,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.187954254431647,0.166381381399774,0.211814785953095,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.560519658200133,0.539548182964129,0.582511252519812,1
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.184088839385671,0.1246141756524,0.256600098410171,0
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.000699198375707657,8.79325604944967e-05,0.0034264720202155,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0389986347093308,0.0332052759889179,0.0505552225366407,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.259476942232644,0.235636490092223,0.279298844247661,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.585488581481626,0.563360821745554,0.607289133564426,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.000573512458607482,7.39686029875713e-05,0.00354211830814459,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.106925190721459,0.0988031505691958,0.11590828224858,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.337178628905728,0.308747864087253,0.356235993806795,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.505597542351351,0.481563198084416,0.526934483220336,1
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.125082181010026,0.0718925866456154,0.202196368290633,0
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000818181537629011,0.000197462059459262,0.00360919174231804,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.104860394550051,0.0973386116035495,0.112899391173694,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.400805031932129,0.368697692843476,0.41968340059256,0.8114
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.380046033219689,0.359529219043387,0.398395416910135,0.1886
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0758801917344377,0.0694453565031762,0.0828371733345256,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.20210746519189,0.180849612072965,0.223943589008842,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.599609351792901,0.578323802421916,0.620454130184882,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0507465336418317,0.0297595498992743,0.0812198507915676,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000961077593667618,0.000227736065798849,0.0043121938378401,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.113552590672345,0.104630144869998,0.123160694026265,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.169707967848137,0.151641158890584,0.188410381458186,0
