"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,0
"3","Green Party",14,13,11,15
"4","Labour Party",5,11,7,15
"5","Mana",0,0,0,0
"6","Maori Party",1,0,0,1
"7","National Party",19,12,7,15
"8","New Zealand First Party",11,16,10,23
"9","United Future",0,0,0,0
