"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00852906331970989,0.00302663529278183,0.0185177701807206
"2","Auckland Central",2017,"Conservative Party",0.0173,5e-04,5e-04,0.0015958701516753
"3","Auckland Central",2017,"Green Party",0.2217,0.2226143147433,0.197263110058336,0.234850033102337
"4","Auckland Central",2017,"Labour Party",0.2167,0.226807309523826,0.18797626873296,0.258258734307007
"5","Auckland Central",2017,"Mana",0.0196,0.00220417067615035,5e-04,0.00934777453103772
"6","Auckland Central",2017,"Maori Party",0.0056,0.00537458871253976,0.00320061393897595,0.0104297375195907
"7","Auckland Central",2017,"National Party",0.4493,0.43109579693246,0.390961694191997,0.466913142640023
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0908708223393359,0.0508062922788775,0.14653469378092
"9","Auckland Central",2017,"United Future",0.0019,0.00127432696901739,5e-04,0.00445259209022473
"10","Bay of Plenty",2017,"ACT",0.0025,0.00182244942728844,0.0006467169429021,0.0117483236164495
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.000996404951903403,5e-04,0.00522117055403596
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0735453719032567,0.0637647964116796,0.0903820433207382
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.144215993557288,0.113375626780793,0.183649821238034
"14","Bay of Plenty",2017,"Mana",0.0051,0.000573534206549325,5e-04,0.00243232908715777
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00547056351097797,0.00325776775931481,0.0118887304933966
"16","Bay of Plenty",2017,"National Party",0.5766,0.558395796932461,0.518261694191997,0.599915546624763
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.189901418392191,0.13672581358447,0.246621439735702
"18","Bay of Plenty",2017,"United Future",0.0021,0.00140846664996659,5e-04,0.00543444665156362
"19","Botany",2017,"ACT",0.0241,0.0175684124790605,0.00623435132957625,0.032298707548876
"20","Botany",2017,"Conservative Party",0.0453,0.000797476048078165,5e-04,0.0041787813798203
"21","Botany",2017,"Green Party",0.0435,0.0447220981114412,0.0383647115339981,0.0607830036247696
"22","Botany",2017,"Labour Party",0.2227,0.235206319639251,0.193180964683111,0.272465193229189
"23","Botany",2017,"Mana",0.0061,0.000685991894108017,5e-04,0.00290925635914949
"24","Botany",2017,"Maori Party",0.0021,0.00201547076720241,0.00120023022711598,0.00802703391601036
"25","Botany",2017,"National Party",0.5965,0.578295796932461,0.538161694191997,0.618913017968425
"26","Botany",2017,"New Zealand First Party",0.0544,0.103059169319979,0.053356415057354,0.160403559134226
"27","Botany",2017,"United Future",0.0015,0.00100604760711899,5e-04,0.00466904166935748
"28","Christchurch Central",2017,"ACT",0.0049,0.00357200087748534,0.00126756520808812,0.0123808425115618
"29","Christchurch Central",2017,"Conservative Party",0.0311,0.000547494593713707,5e-04,0.00286887639983248
