"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,1,0,1
"2","Conservative Party",0,0,0,2
"3","Green Party",14,14,11,17
"4","Labour Party",32,37,30,43
"5","Mana",0,1,0,2
"6","Maori Party",2,2,1,4
"7","National Party",60,57,49,64
"8","New Zealand First Party",11,9,3,20
"9","United Future",1,1,0,5
