"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,2
"3","Green Party",14,14,11,17
"4","Labour Party",5,14,8,18
"5","Mana",0,0,0,2
"6","Maori Party",1,0,0,1
"7","National Party",19,13,6,17
"8","New Zealand First Party",11,9,3,20
"9","United Future",0,0,0,4
