"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"49","STANFORD, Erica","National Party",2017,"East Coast Bays",0.619233135,0.587474506664449,0.554961901340978,0.620884650123891,1
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.236549075530192,0.0893485852224331,0.439430359679067,0.6782
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0833643901953677,0.0725707518222488,0.0969412057286131,0.0042
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.0942867017966323,0.0799739053046741,0.118146585134686,0.03
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.0939408602165493,0.00449666479497692,0.811738678076049,0.2872
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.0352894750936993,0.018524222586408,0.0580215786053486,4e-04
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.000787871612016978,0.000140585750119557,0.00319572446636261,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0899030231686947,0.0818579417377751,0.0991826835589926,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.298795767034206,0.270015802228828,0.324899079753057,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.573915248197923,0.534009692111876,0.610694650768818,0.9996
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.0779912229454545,0.0281231353740029,0.219168369035365,4e-04
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0720567687481585,0.0588199684262451,0.0916632124895138,0
"61","GAURAV, Sharma","Labour Party",2017,"Hamilton West",0.354278628,0.340509536763564,0.309842110182996,0.370590839951387,0
"62","MACINDOE, Tim","National Party",2017,"Hamilton West",0.531004547,0.544707537458927,0.504827614014048,0.582074590390856,1
"63","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton West",0.02618708,0.0565747459835969,0.0202817812973045,0.123370335875977,0
"64","TODD, Quentin","United Future",2017,"Hamilton West",0.002170094,0.00260267184358437,0.000235461464983022,0.0145118689065164,0
"65","EVANS, Alex","ACT",2017,"Helensville",0.008691207,0.0010361902649284,0.000188938857108757,0.00433591586310043,0
"66","HOLT, Hayley","Green Party",2017,"Helensville",0.12791411,0.120209388666952,0.109647416513049,0.132507426445877,0
"67","TAOGAGA, Kurt","Labour Party",2017,"Helensville",0.127709611,0.175904846110542,0.149288913755591,0.201549624595084,0
"68","PENK, Chris","National Party",2017,"Helensville",0.655623722,0.576287693884383,0.541571732236821,0.608574980444843,1
"69","PETERSON, Helen","New Zealand First Party",2017,"Helensville",NA,0.0324758581580537,0.0146419581108965,0.0721065302926679,0
"70","SMITH, Anthony","ACT",2017,"Hunua",0.012146166,0.00135460515056911,0.000250226721069694,0.00519737086849304,0
"71","KAUR, Baljit","Labour Party",2017,"Hunua",0.17858981,0.203299373868944,0.172805638318068,0.232232376419173,0
"72","BAYLY, Andrew","National Party",2017,"Hunua",0.675553268,0.609120500588094,0.575393455879019,0.642569872431595,1
"73","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hunua",0.052282242,0.0626464289612139,0.0227461190068649,0.148648424998064,0
"74","PARKINS, Andy","ACT",2017,"Hutt South",0.004687182,0.000765357515412909,0.000140392771234479,0.00307192553254214,0
"75","RUTHVEN, Susanne","Green Party",2017,"Hutt South",0.083452211,0.099956788410449,0.0914587418275728,0.109155060007507,0
"76","ANDERSEN, Ginny","Labour Party",2017,"Hutt South",0.438047687,0.378434489657961,0.348823978018984,0.405848394149046,0.0528
"77","BISHOP, Chris","National Party",2017,"Hutt South",0.419604646,0.428211771101023,0.395096125512064,0.456428903110652,0.9472
"78","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hutt South",0.028924775,0.0378478742064389,0.0137602629663224,0.0972513022366555,0
