Party,Green Party,Labour Party,Mana,Maori Party
Green Party,0.161779931,0.027418789,-0.062285411,-0.084967135
Labour Party,0.027418789,0.097620963,-0.018868802,-0.063816121
Mana,-0.062285411,-0.018868802,0.314873824,-0.117661039
Maori Party,-0.084967135,-0.063816121,-0.117661039,0.231019733
