"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,0,0,1
"2","Conservative Party",0,0,0,11
"3","Green Party",14,12,7,17
"4","Labour Party",32,26,18,35
"5","Mana",0,1,0,2
"6","Maori Party",2,2,1,13
"7","National Party",60,63,46,77
"8","New Zealand First Party",11,9,1,31
"9","United Future",1,1,0,17
