"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,1
"2","Conservative Party",0,0,0,11
"3","Green Party",14,12,7,17
"4","Labour Party",5,10,0,15
"5","Mana",0,0,0,2
"6","Maori Party",1,0,0,11
"7","National Party",19,12,0,21
"8","New Zealand First Party",11,9,1,31
"9","United Future",0,0,0,17
