"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,0,0,1
"2","Conservative Party",0,0,0,0
"3","Green Party",0,0,0,1
"4","Labour Party",27,17,9,23
"5","Mana",0,0,0,1
"6","Maori Party",1,2,0,3
"7","National Party",41,51,44,59
"8","New Zealand First Party",0,0,0,0
"9","United Future",1,1,0,1
