"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,0,0,1
"2","Conservative Party",0,0,0,3
"3","Green Party",14,12,8,17
"4","Labour Party",32,27,19,35
"5","Mana",0,1,0,1
"6","Maori Party",2,2,1,4
"7","National Party",60,62,45,74
"8","New Zealand First Party",11,14,3,40
"9","United Future",1,1,0,9
