"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.0011363484272768,0.000170450397574022,0.00524248804567253,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.115337056245342,0.100111729549157,0.130134645025148,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.292670461279767,0.241454491468968,0.332851301575408,0
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.523942461776543,0.437819852392212,0.568732405755848,1
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.000988681699098736,0.000524416795743208,0.00489835800097201,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.166799883255606,0.137508964663647,0.202970105435222,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.577161954196265,0.50365401492234,0.626336103104394,0.9808
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.157198158950602,0.0398095349150488,0.388703256382504,0.0192
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00163757830867125,0.000108115351883614,0.0240289050624307,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0367957688220274,0.0260313340905926,0.0590721476810268,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.234950855746515,0.194655783579312,0.270171518894479,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.602430960160446,0.528115820298509,0.646873204157174,0.9998
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00147488672250724,8.89675529308761e-05,0.0256723419035579,2e-04
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.104758817825099,0.0902314061631901,0.116999883220485,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.307625965944694,0.254753702624009,0.347352547315343,0
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.524477649135103,0.437018591269126,0.575277468062622,0.9502
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.107319428118349,0.0223012964390806,0.448805203086034,0.0498
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000325643318239532,7.21900863524253e-05,0.00184211120034694,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.102948174609022,0.0880884045860607,0.115635415588612,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.367462015161943,0.30384884164863,0.411205130643887,0.272
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.396473247808565,0.321852241199914,0.443532445567323,0.728
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.074379056310886,0.0629571546280158,0.0852288972348244,0
