Party,Green Party,Labour Party,Mana,Maori Party
Green Party,0.000828607,-0.001265521,0.000674171,0.000112966
Labour Party,-0.001265521,0.004416198,-5.30986E-06,-0.001748687
Mana,0.000674171,-5.30986E-06,0.001628883,-4.98E-04
Maori Party,0.000112966,-0.001748687,-4.98E-04,0.004188938
