ACT,Green,Labour,National,NZF,Other
2.271243845,0.129989829,0.150390052,1.537966816,0.537996668,0.684537044
2.118001977,1.879754303,2.076637483,10.26559975,0.565233419,12.10362752
2.554219763,3.20079862,1.609948766,6.497557733,0.75355305,0.277382198
2.423238153,1.37842252,1.013679209,4.488831189,1.001621095,0.140325465
3.322111291,9.814538934,2.666934176,5.518483861,1.589857267,4.974414342
3.653307657,1.672582235,2.040644784,7.992633266,1.304032562,1.512918244
1.963177839,0.192316232,0.02888397,1.426184471,0.631613941,0.81938639
1.13972353,0.470374942,1.796791389,2.192864361,5.679788728,1.282481775
5.568680649,1.175154245,1.670512646,6.279624126,0.25,2.073876202
