Candidate,Party,Year,Electorate,Candidate.Vote,Party.Vote.Electorate,Vote.to.Use,Incumbent
"YOUNG, Jonathan ",National Party,2017,New Plymouth,NA,NA,0.584218048,TRUE
"BARRY, Maggie ",National Party,2017,North Shore,NA,NA,0.631492675,TRUE
"COLEMAN, Jonathan ",National Party,2017,Northcote,NA,NA,0.570125077,TRUE
"KING, Matt",National Party,2017,Northland,NA,NA,0.527477059,FALSE
"HUDSON, Brett ",National Party,2017,Ohariu,NA,NA,0.166225839,FALSE
"GUY, Nathan ",National Party,2017,Otaki,NA,NA,0.554022284,TRUE
"BROWN, Simeon",National Party,2017,Pakuranga,NA,NA,0.610385572,FALSE
"PIERCE, Adrienne",National Party,2017,Palmerston North,NA,NA,0.435164386,FALSE
"COLLINS, Judith ",National Party,2017,Papakura,NA,NA,0.467521635,TRUE
"KORAKO, Nuk ",National Party,2017,Port Hills,NA,NA,0.407399836,FALSE
"FALLOON, Andrew",National Party,2017,Rangitata,NA,NA,0.672417377,FALSE
"McKELVIE, Ian ",National Party,2017,Rangitikei,NA,NA,0.603483607,TRUE
"O'FALLON, Carolyn",National Party,2017,Rimutaka,NA,NA,0.346857435,FALSE
"MITCHELL, Mark ",National Party,2017,Rodney,NA,NA,0.634148828,TRUE
"FINLAYSON, Christopher ",National Party,2017,Rongotai,NA,NA,0.243904938,FALSE
"McCLAY, Todd ",National Party,2017,Rotorua,NA,NA,0.563345633,TRUE
"ADAMS, Amy",National Party,2017,Selwyn,NA,NA,0.699683447,TRUE
"O'CONNOR, Simon ",National Party,2017,Tamaki,NA,NA,0.714285714,TRUE
"KURIGER, Barbara ",National Party,2017,Taranaki-King Country,NA,NA,0.681677977,FALSE
"UPSTON, Louise ",National Party,2017,Taupo,NA,NA,0.631121562,TRUE
"BRIDGES, Simon ",National Party,2017,Tauranga,NA,NA,0.568780088,TRUE
"NGARO, Alfred ",National Party,2017,Te Atatu,NA,NA,0.399937817,FALSE
"YULE, Lawrence",National Party,2017,Tukituki,NA,NA,0.525557146,FALSE
"BENNETT, Paula ",National Party,2017,Upper Harbour,NA,NA,0.565316012,TRUE
"VAN DE MOLEN, Tim",National Party,2017,Waikato,NA,NA,0.65662402,FALSE
"DOOCEY, Matt ",National Party,2017,Waimakariri,NA,NA,0.48604888,FALSE
"SCOTT, Alastair ",National Party,2017,Wairarapa,NA,NA,0.43897238,FALSE
"DEAN, Jacqui ",National Party,2017,Waitaki,NA,NA,0.629795918,TRUE
"WILLIS, Nicola",National Party,2017,Wellington Central,NA,NA,0.303083248,FALSE
"PUGH, Maureen ",National Party,2017,West Coast-Tasman,NA,NA,0.357324646,FALSE
"HIPANGO, Harete",National Party,2017,Whanganui,NA,NA,0.536901121,FALSE
"RETI, Shane ",National Party,2017,Whangarei,NA,NA,0.555805167,FALSE
"HIATT, David",National Party,2017,Wigram,NA,NA,0.377147588,FALSE
"EDWARDS, Frank",New Zealand First Party,2017,Auckland Central,NA,NA,NA,FALSE
"GRAY, Leste",New Zealand First Party,2017,Bay of Plenty,NA,NA,0.126792298,FALSE
"ROBINSON, Philip",New Zealand First Party,2017,Christchurch Central,NA,NA,0.037470241,FALSE
"MARK-SHADBOLT, Melanie",New Zealand First Party,2017,Christchurch East,NA,NA,NA,FALSE
"PATTERSON, Mark",New Zealand First Party,2017,Clutha-Southland,NA,NA,NA,FALSE
"ANDREWS, Anne-Marie",New Zealand First Party,2017,Coromandel,NA,NA,0.084555827,FALSE
"VOIGHT, Warren",New Zealand First Party,2017,Dunedin North,NA,NA,NA,FALSE
"RUSHTON, Kerry",New Zealand First Party,2017,Dunedin South,NA,NA,NA,FALSE
"TILLEY, Julian",New Zealand First Party,2017,East Coast,NA,NA,0.071978643,FALSE
"RUPPELDT, Ilja",New Zealand First Party,2017,East Coast Bays,NA,NA,NA,FALSE
"PAUL, Julian",New Zealand First Party,2017,Epsom,NA,NA,0.016902274,FALSE
"PARAONE, Pita",New Zealand First Party,2017,Hamilton East,NA,NA,0.038338328,FALSE
"WIHONGI, Shayne",New Zealand First Party,2017,Hamilton West,NA,NA,0.069346838,FALSE
"PETERSON, Helen",New Zealand First Party,2017,Helensville,NA,NA,NA,FALSE
"REEVES, Jon",New Zealand First Party,2017,Hunua,NA,NA,0.082964488,FALSE
"GUPTA, Alok",New Zealand First Party,2017,Hutt South,NA,NA,0.02618708,FALSE
"BOND, Ria ",New Zealand First Party,2017,Invercargill,NA,NA,0.07505856,FALSE
"ARBUCKLE, Jamie",New Zealand First Party,2017,Kaikoura,NA,NA,0.052454675,FALSE
"DEGIA-PALA, Anne ",New Zealand First Party,2017,Kelston,NA,NA,0.043224664,FALSE
"PARORO, Mataroa",New Zealand First Party,2017,Mangere,NA,NA,0.02618708,FALSE
"FLESHER, William",New Zealand First Party,2017,Manukau East,NA,NA,0.072638194,FALSE
"HALL, John",New Zealand First Party,2017,Manurewa,NA,NA,0.077869291,FALSE
"MAHON, Ken",New Zealand First Party,2017,Maungakiekie,NA,NA,NA,FALSE
"LITTLEJOHN, Andrew McGregor",New Zealand First Party,2017,Mt Albert,NA,NA,NA,FALSE
