Party,ACT,Conservative Party,Green Party,Labour Party,Mana,Maori Party,National Party,New Zealand First Party,United Future
ACT,0.757042658,-0.029827601,-0.073859277,-0.058598979,-0.541763815,0.100623227,-0.054648664,-0.028812791,0.265808129
Conservative Party,-0.029827601,0.335949995,-0.001711238,-0.104011306,0.115921711,0.08998904,0.081836114,0.297396668,-0.132561473
Green Party,-0.073859277,-0.001711238,0.239081088,-0.05034396,0.089284803,-0.077311526,0.042448675,-0.044413864,-0.038669515
Labour Party,-0.058598979,-0.104011306,-0.05034396,0.234362381,0.31176838,0.079907145,-0.105497684,-0.18305713,0.054236464
Mana,-0.541763815,0.115921711,0.089284803,0.31176838,0.691386109,1.019361479,-0.201223169,-0.153845918,0.039117314
Maori Party,0.100623227,0.08998904,-0.077311526,0.079907145,1.019361479,0.237458178,-0.061328153,0.021317161,0.05316631
National Party,-0.054648664,0.081836114,0.042448675,-0.105497684,-0.201223169,-0.061328153,0.157354862,0.042631245,-0.152510483
New Zealand First Party,-0.028812791,0.297396668,-0.044413864,-0.18305713,-0.153845918,0.021317161,0.042631245,0.750298302,0.022773634
United Future,0.265808129,-0.132561473,-0.038669515,0.054236464,0.039117314,0.05316631,-0.152510483,0.022773634,1.167471168
