Candidate,Party,Year,Electorate,Vote
"COPELAND, Gordon",Conservative Party,2014,Hutt South,0.02231506
"WALKER, Holly ",Green Party,2014,Hutt South,0.083452211
"MALLARD, Trevor",Labour Party,2014,Hutt South,0.438047687
"BISHOP, Chris ",National Party,2014,Hutt South,0.419604646
"PARORO, Mataroa ",New Zealand First Party,2014,Hutt South,0.02618708
"STONYER, Dave ",United Future,2014,Hutt South,0.002751172
"VEALE, Gareth ",ACT,2014,Ilam,0.011722365
"STRINGER, John ",Conservative Party,2014,Ilam,0.03403599
"KELCHER, John ",Green Party,2014,Ilam,0.122056555
"DANN, James Macbeth ",Labour Party,2014,Ilam,0.23496144
"BALLANTINE, Beverley ",Mana,2014,Ilam,0.009357326
"WAKEFIELD, Benita ",Maori Party,2014,Ilam,0.007095116
"BROWNLEE, Gerry",National Party,2014,Ilam,0.580771208
"STORR, Laura ",Conservative Party,2014,Invercargill,0.021387107
"KENNEDY, David ",Green Party,2014,Invercargill,0.074243813
"SOPER, Lesley",Labour Party,2014,Invercargill,0.298502903
"DOWIE, Sarah ",National Party,2014,Invercargill,0.520928811
"BOND, Ria ",New Zealand First Party,2014,Invercargill,0.07505856
"EVANS, Richard ",ACT,2014,Kaikoura,0.003666735
"HUDSON, Howard ",Conservative Party,2014,Kaikoura,0.030148706
"BROWNING, Steffan ",Green Party,2014,Kaikoura,0.083825626
"WALKER, Janette ",Labour Party,2014,Kaikoura,0.229374618
"SMITH, Stuart ",National Party,2014,Kaikoura,0.577408841
"CAMPBELL, Steve ",New Zealand First Party,2014,Kaikoura,0.052454675
"HAYCOCK, Bruce ",ACT,2014,Kelston,0.0089574
"SOMMER, Paul ",Conservative Party,2014,Kelston,0.020727008
"IRWIN, Ruth ",Green Party,2014,Kelston,0.069263618
"SEPULONI, Carmel ",Labour Party,2014,Kelston,0.509009478
"SAMI, Roshni ",Mana,2014,Kelston,0.007915842
"PENK, Christopher ",National Party,2014,Kelston,0.327986668
"DEGIA-PALA, Anne ",New Zealand First Party,2014,Kelston,0.043224664
"WOOLSTON, Jason ",United Future,2014,Kelston,0.002812207
"BARRY, Roy ",Conservative Party,2014,Mana,0.027298851
"LOGIE, Jan ",Green Party,2014,Mana,0.084359606
"FAAFOI, Kris ",Labour Party,2014,Mana,0.548132184
"PARATA, Hekia ",National Party,2014,Mana,0.326252053
"SAAFI, Edward ",Conservative Party,2014,Mangere,0.056507937
"STRICKSON-PUA, Muamua Sofi ",Green Party,2014,Mangere,0.045608466
"SIO, Sua William ",Labour Party,2014,Mangere,0.724973545
"PAPALI'I, James ",Mana,2014,Mangere,0.020529101
"TURNER, Misa Fia ",National Party,2014,Mangere,0.152380952
"TAUKOLO, Vili M ",Conservative Party,2014,Manukau East,0.019597401
"PERINPANAYAGAM, Umesh ",Green Party,2014,Manukau East,0.026520396
"SALESA, Jenny ",Labour Party,2014,Manukau East,0.69538822
"TRINDER, Joe ",Mana,2014,Manukau East,0.010224731
"BAKSHI, Kanwaljit Singh ",National Party,2014,Manukau East,0.173926936
"LOLE-TAYLOR, Asenati ",New Zealand First Party,2014,Manukau East,0.072638194
"IKILEI, Elliot Ewen Pasione ",Conservative Party,2014,Manurewa,0.021713552
"TUPOU, Trish ",Green Party,2014,Manurewa,0.043534068
"WALL, Louisa Hareruia ",Labour Party,2014,Manurewa,0.54230399
"DAINTY, Yvonne ",Mana,2014,Manurewa,0.010375441
"BHANA, Raewyn ",Maori Party,2014,Manurewa,0.009198845
"BROWN, Simeon ",National Party,2014,Manurewa,0.295004813
"HALL, John ",New Zealand First Party,2014,Manurewa,0.077869291
"SIMPSON, Litia ",Conservative Party,2014,Maungakiekie,0.020160869
"LECKINGER, Richard ",Green Party,2014,Maungakiekie,0.062571817
"BEAUMONT, Carol ",Labour Party,2014,Maungakiekie,0.413350047
"FINAU, Sitaleki ",Mana,2014,Maungakiekie,0.013893241
"LOTU-IIGA, Peseta Sam ",National Party,2014,Maungakiekie,0.483860859
"MOCKRIDGE, Bryan ",United Future,2014,Maungakiekie,0.003447195
"FERGUSSON, Tommy ",ACT,2014,Mt Albert,0.008993178
"JOHNSON, Jeffrey ",Conservative Party,2014,Mt Albert,0.01467852
"ELLEY, Jeanette",Green Party,2014,Mt Albert,0.088277858
"SHEARER, David ",Labour Party,2014,Mt Albert,0.58714079
"CAROLAN, Joe ",Mana,2014,Mt Albert,0.008166219
"LEE, Melissa ",National Party,2014,Mt Albert,0.288712012
"DAVIE, Paul ",Conservative Party,2014,Mt Roskill,0.033192017
"COATES, Barry ",Green Party,2014,Mt Roskill,0.050977148
"GOFF, Phil",Labour Party,2014,Mt Roskill,0.565194913
"MINTO, John ",Mana,2014,Mt Roskill,0.009099369
"PARMAR, Parmjeet ",National Party,2014,Mt Roskill,0.319822149
"BINDRA, Mahesh ",New Zealand First Party,2014,Mt Roskill,0.021714404
"McVICAR, Garth ",Conservative Party,2014,Napier,0.211701152
"BAILEY, Paul",Green Party,2014,Napier,0.037916624
"NASH, Stuart ",Labour Party,2014,Napier,0.427275507
"WALFORD, Wayne ",National Party,2014,Napier,0.320048925
"HUFFLETT, Paul ",ACT,2014,Nelson,0.00519507
"GREEN, John ",Conservative Party,2014,Nelson,0.030049913
"ROBERTSON, Colin ",Green Party,2014,Nelson,0.091983294
"STREET, Maryan ",Labour Party,2014,Nelson,0.330752776
"SMITH, Nick",National Party,2014,Nelson,0.533666089
"TAYLOR, Steve ",Conservative Party,2014,New Lynn,0.03906331
"ROGERS, Daniel ",Green Party,2014,New Lynn,0.079370013
"CUNLIFFE, David ",Labour Party,2014,New Lynn,0.508962802
"GROSER, Tim ",National Party,2014,New Lynn,0.368666459
"GRAY, James ",ACT,2014,New Plymouth,0.005512454
"STORR, Angela ",Conservative Party,2014,New Plymouth,0.017149857
"ROBERTS, Sarah ",Green Party,2014,New Plymouth,0.054818293
"LITTLE, Andrew ",Labour Party,2014,New Plymouth,0.319314006
"YOUNG, Jonathan ",National Party,2014,New Plymouth,0.584218048
"KEARNEY, Nick ",ACT,2014,North Shore,0.015264829
"PERKIN, Melissa ",Conservative Party,2014,North Shore,0.058395656
"STANSFIELD, Brett ",Green Party,2014,North Shore,0.09896527
"SZABA, Claire ",Labour Party,2014,North Shore,0.193320357
"BARRY, Maggie ",National Party,2014,North Shore,0.631492675
"KRONFELD, Tim ",ACT,2014,Northcote,0.011072381
"WEBSTER, Matthew James ",Conservative Party,2014,Northcote,0.028193562
"SMITHSON, Anne-Elise ",Green Party,2014,Northcote,0.087758868
"HILLS, Richard ",Labour Party,2014,Northcote,0.290444946
"HO, Gil ",Mana,2014,Northcote,0.007791675
"COLEMAN, Jonathan ",National Party,2014,Northcote,0.570125077
"LIGHT, Damian ",United Future,2014,Northcote,0.004613492
"NELSON, Craig ",ACT,2014,Northland,0.005773791
"TAYLOR, Mel ",Conservative Party,2014,Northland,0.044849985
"CLENDON, David",Green Party,2014,Northland,0.105062378
"PRIME, Willow-Jean ",Labour Party,2014,Northland,0.258995773
"SABIN, Mike ",National Party,2014,Northland,0.527477059
"FITZPATRICK, Sean Daniel Thomas ",ACT,2014,Ohariu,0.005696846
"BRUNNER, Michael ",Conservative Party,2014,Ohariu,0.028179044
"WOODLEY, Tane ",Green Party,2014,Ohariu,0.075076297
"ANDERSEN, Virginia ",Labour Party,2014,Ohariu,0.349338759
"HUDSON, Brett ",National Party,2014,Ohariu,0.166225839
"DUNNE, Peter",United Future,2014,Ohariu,0.368565615
"LOVELOCK, Anne ",Conservative Party,2014,Otaki,0.02412348
"DREW, Maddy ",Green Party,2014,Otaki,0.065010733
"McCANN, Rob ",Labour Party,2014,Otaki,0.348461617
"GUY, Nathan ",National Party,2014,Otaki,0.554022284
"WHYTE, Jamie ",ACT,2014,Pakuranga,0.060737977
"CRAIG, Andrew ",Conservative Party,2014,Pakuranga,0.103752073
"KIRKER, Barry ",Labour Party,2014,Pakuranga,0.225124378
"WILLIAMSON, Maurice",National Party,2014,Pakuranga,0.610385572
"PEARCE, Mark ",Conservative Party,2014,Palmerston North,0.020420666
"LEES-GALLOWAY, Iain ",Labour Party,2014,Palmerston North,0.500816827
"FARVID, Pani ",Mana,2014,Palmerston North,0.007453543
"NAYLOR, Jono ",National Party,2014,Palmerston North,0.435164386
"BALL, Darroch ",New Zealand First Party,2014,Palmerston North,0.036144578
"THOMPSON, John",ACT,2014,Papakura,0.012407465
"STITT, Kevin ",Conservative Party,2014,Papakura,0.038786362
"CONROY, Caroline ",Green Party,2014,Papakura,0.053696173
"MIKA, Jerome ",Labour Party,2014,Papakura,0.313940152
"FOWLER, Roger ",Mana,2014,Papakura,0.005213221
"KENDALL, Ann ",Maori Party,2014,Papakura,0.007194245
"COLLINS, Judith ",National Party,2014,Papakura,0.467521635
"CATCHPOLE, Brent",New Zealand First Party,2014,Papakura,0.101240747
"RUSSELL, Geoff ",ACT,2014,Port Hills,0.003679477
"BROSNAN, Chris ",Conservative Party,2014,Port Hills,0.016046607
"SAGE, Eugenie ",Green Party,2014,Port Hills,0.07818888
"DYSON, Ruth",Labour Party,2014,Port Hills,0.464431725
"KORAKO, Nuk ",National Party,2014,Port Hills,0.407399836
"O'ROURKE, Denis ",New Zealand First Party,2014,Port Hills,0.028924775
"CORBETT, Tom ",ACT,2014,Rangitata,0.013406776
"VITALI, Oliver ",Conservative Party,2014,Rangitata,0.045104968
"GIBSON, Steven ",Labour Party,2014,Rangitata,0.269070879
"GOODHEW, Jo ",National Party,2014,Rangitata,0.672417377
"WILSON, Neil ",ACT,2014,Rangitikei,0.00522541
"BROWN, Roy ",Conservative Party,2014,Rangitikei,0.044364754
"RUSSELL, Deborah ",Labour Party,2014,Rangitikei,0.277663934
"McKELVIE, Ian ",National Party,2014,Rangitikei,0.603483607
"RUDZKI, Romuald Edward John ",New Zealand First Party,2014,Rangitikei,0.069262295
"LYNCH, Philip Michael ",Conservative Party,2014,Rimutaka,0.026775677
"RUTHVEN, Susanne ",Green Party,2014,Rimutaka,0.04741952
"HIPKINS, Chris ",Labour Party,2014,Rimutaka,0.529892693
"HOLDEN, Lewis ",National Party,2014,Rimutaka,0.346857435
"HUNT, Aaron ",New Zealand First Party,2014,Rimutaka,0.049054676
"HOULBROOKE, Beth ",ACT,2014,Rodney,0.006320082
"HEYNS, Anton ",Conservative Party,2014,Rodney,0.057186544
"McALL, Malcolm ",Green Party,2014,Rodney,0.089296636
"BOLT, Eric ",Labour Party,2014,Rodney,0.110907238
"MITCHELL, Mark ",National Party,2014,Rodney,0.634148828
"MARTIN, Tracey ",New Zealand First Party,2014,Rodney,0.102140673
"WELSH, Bruce ",Conservative Party,2014,Rongotai,0.015263266
"NORMAN, Russel ",Green Party,2014,Rongotai,0.207744315
"KING, Annette",Labour Party,2014,Rongotai,0.498258554
"PARETUTANGANUI-TAMATI, Ariana ",Mana,2014,Rongotai,0.005941405
"FINLAYSON, Christopher ",National Party,2014,Rongotai,0.243904938
"PIERSON, Brent ",New Zealand First Party,2014,Rongotai,0.020999795
"EUSOFF, Sultan ",United Future,2014,Rongotai,0.002560951
"RUSSELL, Lyall ",ACT,2014,Rotorua,0.00399754
"DAVIDSON, Michael ",Conservative Party,2014,Rotorua,0.018347683
"COFFEY, Tamati Gerald ",Labour Party,2014,Rotorua,0.340098401
"McCLAY, Todd ",National Party,2014,Rotorua,0.563345633
