"","Year","Electorate","ACT","Alliance","Conservative Party","Green Party","Jim Anderton's Progressive","Labour Party","Mana","Maori Party","National Party","New Zealand First Party","United Future"
"44",1996,"Rodney",0.04017962,0.200610918,NA,NA,NA,0.09876511,NA,NA,0.39461661,0.159726392,0.005769783
"45",1996,"Rongotai",0.022824414,0.081153474,NA,NA,NA,0.518692654,NA,NA,0.299281929,0.034963242,0.007864592
"46",1996,"Rotorua",0.012540139,0.210512084,NA,NA,NA,0.140239986,NA,NA,0.409802265,0.16998479,NA
"47",1996,"Tamaki",0.13124077,0.064913438,NA,NA,NA,0.214534829,NA,NA,0.466207937,0.089515192,NA
"48",1996,"Taranaki-King Country",0.032975068,0.093587775,NA,NA,NA,0.130693866,NA,NA,0.54595306,0.172223441,NA
"49",1996,"Taupo",0.019304074,0.052701521,NA,NA,NA,0.389368771,NA,NA,0.334324183,0.1875153,NA
"50",1996,"Tauranga",0.016170168,0.041279941,NA,NA,NA,0.098467121,NA,NA,0.288407436,0.499487287,NA
"51",1996,"Tukituki",0.113771126,0.059105178,NA,NA,NA,0.468148524,NA,NA,0.239020833,0.081142785,NA
"52",1996,"Waimakariri",0.011469924,0.067789823,NA,NA,NA,0.568490604,NA,NA,0.265123995,0.054003032,NA
"53",1996,"Waipareira",0.020152328,0.113149394,NA,NA,NA,0.356103488,NA,NA,0.359274516,0.145808019,NA
"54",1996,"Wairarapa",0.023099433,0.206649648,NA,NA,NA,0.140869186,NA,NA,0.451559679,0.140682398,NA
"55",1996,"Waitakere",0.02751609,0.09706806,NA,NA,NA,0.32658645,NA,NA,0.388178963,0.095295837,NA
"56",1996,"Wellington Central",0.347803832,0.033052211,NA,NA,NA,0.302466728,NA,NA,0.214351874,0.011699898,0.054428899
"57",1996,"West Coast-Tasman",0.017585071,0.099964112,NA,NA,NA,0.52986852,NA,NA,0.252846563,0.059476037,0.015464422
"58",1996,"Whanganui",0.013332084,0.09307481,NA,NA,NA,0.40505183,NA,NA,0.335924816,0.089109529,NA
"59",1996,"Whangarei",0.058059496,0.052642605,NA,NA,NA,0.103579338,NA,NA,0.388848985,0.377386724,0.001945292
"60",1996,"Wigram",0.014530039,0.506183307,NA,NA,NA,0.185440725,NA,NA,0.212688203,0.053413244,0.009940067
"61",1999,"Albany",0.070787637,0.11069732,NA,0.046478212,NA,0.256671163,NA,NA,0.401765292,0.022022169,NA
"62",1999,"Aoraki",0.019422355,0.060040796,NA,0.031365477,NA,0.514825435,NA,NA,0.303781003,0.02084134,NA
"63",1999,"Auckland Central",0.070496324,0.187775735,NA,0.093658088,NA,0.387408088,NA,NA,0.225490196,0.011642157,NA
"64",1999,"Banks Peninsula",0.018834105,0.039433907,NA,0.102784986,NA,0.414002515,NA,NA,0.375076915,0.013644025,NA
"65",1999,"Bay of Plenty",0.015156815,0.03899965,NA,0.052903113,NA,0.252973068,NA,NA,0.45998018,0.121983211,NA
"66",1999,"Christchurch Central",0.029143172,0.08243442,NA,0.050809022,NA,0.527978671,NA,NA,0.239795293,0.019643295,NA
"67",1999,"Christchurch East",0.020864615,0.066535285,NA,0.040540541,NA,0.567974224,NA,NA,0.218812563,0.016516517,NA
"68",1999,"Clutha-Southland",0.030988687,0.034399082,NA,0.028004591,NA,0.302279062,NA,NA,0.512182325,0.037088047,NA
"69",1999,"Coromandel",NA,0.035563998,NA,0.399824664,NA,0.113734658,NA,NA,0.392518995,0.036148451,NA
"70",1999,"Dunedin North",0.029301566,0.063022384,NA,0.042207064,NA,0.603836424,NA,NA,0.197297211,0.00717328,NA
"71",1999,"Dunedin South",0.01620266,0.135961452,NA,0.04012624,NA,0.509045311,NA,NA,0.210127367,0.028150361,NA
