Party,Mean,SDev
ACT,0.001276756,0.000185537
Conservative Party,-0.002759565,0.000206796
Green Party,-0.010519778,0.002317463
Labour Party,-0.03153865,0.005015596
Mana,-0.004520568,0.018695866
Maori Party,0.037333795,0.00339409
National Party,-0.017940291,0.000674008
New Zealand First Party,-0.000364044,0.001860006
United Future,0.004341355,0.000262742
