Party,Green Party,Labour Party,Mana,Maori Party
Green Party,0.001332823,0.001731885,-0.00129885,-0.002995817
Labour Party,0.001731885,0.020469825,-0.003411711,-0.010087084
Mana,-0.00129885,-0.003411711,0.016987467,-0.007078943
Maori Party,-0.002995817,-0.010087084,-0.007078943,0.024920769
