"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00265636588214174,0.00106825854040293,0.00507551146566587
"2","Conservative Party",0.0399,0.000511644861709888,0.00023765639533506,0.00138918033039866
"3","Green Party",0.107,0.0697607785340758,0.062114712183336,0.0782165885572018
"4","Labour Party",0.2513,0.329754234585304,0.314089342111556,0.345898922622659
"5","Mana",0.0142,0.00120487870774683,0.000367920976433472,0.00383091283136157
"6","Maori Party",0.0132,0.0135784701024688,0.0103283149198414,0.0172768283233538
"7","National Party",0.4704,0.433913826592214,0.419479918100127,0.449133649227745
"8","New Zealand First Party",0.0866,0.123582122217629,0.101075092271121,0.149805760439329
"9","United Future",0.0022,0.00226235885013364,0.000839237822274744,0.00553250242843964
