"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00474906976356647,0.00151787677188937,0.0130418238850859
"2","Conservative Party",0.0399,0.000448053318300771,8.90179159740169e-05,0.00217988869466053
"3","Green Party",0.107,0.126612589577203,0.109887795675009,0.144145155192542
"4","Labour Party",0.2513,0.213970604982653,0.185346336157031,0.247041383528739
"5","Mana",0.0142,0.000886978650712911,0.000158154016302681,0.00520408151654805
"6","Maori Party",0.0132,0.0125525496926231,0.00707163130898381,0.0195064890034097
"7","National Party",0.4704,0.447618390257976,0.410414720208617,0.483554557844217
"8","New Zealand First Party",0.0866,0.16468354177246,0.113709717161847,0.227729209035155
"9","United Future",0.0022,0.00307582611076458,0.000780397565163657,0.0103402216970307
