"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00146769321490922,0.000263198331025338,0.0049062775619842,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.118085999126176,0.106020535117773,0.131102077402292,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.341978130596286,0.314327856700295,0.371648105040738,2e-04
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.499094932819366,0.459196408452847,0.52771322507986,0.9998
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00114009165979754,0.000547680846283382,0.00357199605162464,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.213762163360243,0.180029717664696,0.246093286455497,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.555318611720755,0.520649583236255,0.58587551368892,0.9998
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.113825557173983,0.0449323639647465,0.211728276848984,2e-04
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.00614299738346371,0.000522479867580845,0.0297896025263572,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0399614698770127,0.0321251608146888,0.0555807821358942,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.279677610335709,0.253055152039968,0.303833469651204,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.579837752397498,0.545320245451087,0.609414663288828,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.00585467240894356,0.000391638065259441,0.0285518055913442,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.107173045514232,0.0977529327870999,0.116984631010145,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.356165235220589,0.330370628310703,0.382464194698018,2e-04
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.499072462596946,0.458071036004526,0.528527378833634,0.9996
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.0652962528098342,0.0250119279075239,0.157140459504251,2e-04
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000380321522696416,8.46411116988858e-05,0.00151514910357993,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.105219994358539,0.0957234124196024,0.114295462856735,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.420152402882616,0.394771777707892,0.448093866879315,0.9668
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.37443101080388,0.339995010001994,0.400474118708945,0.0332
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0762845273090181,0.0682391275906129,0.0845271907151734,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.223051812234673,0.194993848654563,0.249094484494082,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.594282127271543,0.560961272926947,0.621865421528093,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.0291302186903687,0.0138260428286859,0.0624973991671974,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000444073102039269,9.33123527797533e-05,0.00194377709836692,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.114363355962176,0.103235452532871,0.126519753940575,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.189276204035532,0.163648587194357,0.214216315772608,0
"29","SIMPSON, Scott","National Party",2017,"Coromandel",0.587306438,0.602410066169793,0.563218315445341,0.637370133624319,0.9996
"30","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Coromandel",0.082964488,0.106794213475138,0.0421352622472392,0.207717817195762,4e-04
"31","PURCHAS, Sam","ACT",2017,"Dunedin North",NA,0.00139269315855844,0.000594628298429016,0.00435583841289749,0
"32","BOULD, Niki","Green Party",2017,"Dunedin North",0.173691193,0.162572686459006,0.145905557367817,0.180528782136462,0
"33","CLARK, David","Labour Party",2017,"Dunedin North",0.473925911,0.471599837322898,0.442621255949811,0.501690502343809,1
"34","WOODHOUSE, Michael","National Party",2017,"Dunedin North",0.30207164,0.316530986997413,0.279508645082748,0.34361092063762,0
"35","VOIGHT, Warren","New Zealand First Party",2017,"Dunedin North",NA,0.0310278612219328,0.0147306863716595,0.065121624216675,0
"36","DOUGHTY, Dan","ACT",2017,"Dunedin South",0.003875574,0.000391625908356125,8.89843220418704e-05,0.00164751419400638,0
"37","GALLAGHER, Shane","Green Party",2017,"Dunedin South",0.075879653,0.0933926751348589,0.0851162911179927,0.101541632404554,0
"38","CURRAN, Clare","Labour Party",2017,"Dunedin South",0.490668027,0.485839000268837,0.458348277290735,0.515838246642899,1
"39","GREGORY, Matt","National Party",2017,"Dunedin South",0.38663947,0.388419782679557,0.352702031291912,0.413926568167626,0
"40","RUSHTON, Kerry","New Zealand First Party",2017,"Dunedin South",NA,0.0399012869620149,0.0189796499061426,0.0730209615446679,0
"41","HUGHES, Gareth","Green Party",2017,"East Coast",0.07762604,0.0843527458213464,0.0764655216579733,0.0929401722749414,0
"42","ALLAN, Kiri","Labour Party",2017,"East Coast",0.293870007,0.306670808869523,0.278078162308255,0.3359028666321,0
"43","TOLLEY, Anne","National Party",2017,"East Coast",0.523873088,0.546565683413731,0.505996845728444,0.579392598182682,1
"44","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"East Coast",0.028818737,0.0679528218730632,0.0262401085408123,0.130783140935549,0
"45","TURNER, Judy","United Future",2017,"East Coast",NA,0.00947615113876386,0.00123512523238747,0.0445300392560976,0
"46","BERRY, Stephen","ACT",2017,"East Coast Bays",0.01690896,0.00290095023500546,0.000560808689164403,0.00912283421443229,0
"47","MAYNE, Nicholas","Green Party",2017,"East Coast Bays",0.099446381,0.0889068662805587,0.0797505978227373,0.0996298051653678,0
"48","CHEN, Naisi","Labour Party",2017,"East Coast Bays",0.12148862,0.180119484635033,0.148632734605742,0.205648681663,0
"49","STANFORD, Erica","National Party",2017,"East Coast Bays",0.619233135,0.586695529423639,0.554177686677387,0.617879102659807,1
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.23840247373431,0.0894521748825063,0.428648953995326,0.7026
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0820063350219757,0.0717139158346424,0.0948949032021787,0.0022
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.0962627363457942,0.0802718748059537,0.122145794509953,0.0366
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.0889715518004615,0.00374505566539552,0.666447620684509,0.2586
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.035711772924551,0.0194793075148626,0.0578312415934505,0
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.000778954135803353,0.000141503859600358,0.00276146161811776,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0878677860283475,0.0799149181497005,0.0961228170664772,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.303791384050835,0.275851469801599,0.328981738289489,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.573374931214853,0.532288604994167,0.606429786742897,0.9996
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.0812911865921787,0.0308974419125981,0.212123418685487,4e-04
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0678448289462019,0.0562196166661134,0.083517208141009,0
"61","GAURAV, Sharma","Labour Party",2017,"Hamilton West",0.354278628,0.345727512560925,0.316261367899293,0.374412347170694,0
"62","MACINDOE, Tim","National Party",2017,"Hamilton West",0.531004547,0.543968557909719,0.502762452628973,0.577826761223279,1
"63","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton West",0.02618708,0.0591294511432299,0.0227755378813782,0.119421843041519,0
"64","TODD, Quentin","United Future",2017,"Hamilton West",0.002170094,0.00483555424857008,0.000482342980358919,0.0225333922990794,0
"65","EVANS, Alex","ACT",2017,"Helensville",0.008691207,0.00102074898186945,0.000200229241989686,0.00371995939893367,0
"66","HOLT, Hayley","Green Party",2017,"Helensville",0.12791411,0.118008845016283,0.107674679997501,0.128885264439571,0
"67","TAOGAGA, Kurt","Labour Party",2017,"Helensville",0.127709611,0.180988526977785,0.153741586114326,0.205595501530251,0
"68","PENK, Chris","National Party",2017,"Helensville",0.655623722,0.575181005352693,0.540105187422817,0.604959021031779,1
"69","PETERSON, Helen","New Zealand First Party",2017,"Helensville",NA,0.0334891773479824,0.0159963680141504,0.0705728121097947,0
"70","SMITH, Anthony","ACT",2017,"Hunua",0.012146166,0.00133777972608483,0.000260408278806225,0.00477331825172435,0
"71","KAUR, Baljit","Labour Party",2017,"Hunua",0.17858981,0.208295582280929,0.177266621838667,0.236459822838151,0
"72","BAYLY, Andrew","National Party",2017,"Hunua",0.675553268,0.608627362577769,0.57440944038779,0.638901662714454,1
"73","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hunua",0.052282242,0.0657296123449334,0.0256519456386199,0.142498912468435,0
"74","PARKINS, Andy","ACT",2017,"Hutt South",0.004687182,0.000757593741917635,0.000147691075803057,0.00274238170356828,0
"75","RUTHVEN, Susanne","Green Party",2017,"Hutt South",0.083452211,0.0981816183397273,0.090032614164843,0.106772691337254,0
"76","ANDERSEN, Ginny","Labour Party",2017,"Hutt South",0.438047687,0.383236401131342,0.355776977625229,0.410278493455572,0.0662
"77","BISHOP, Chris","National Party",2017,"Hutt South",0.419604646,0.427724293992646,0.393341644731648,0.453578943534988,0.9338
"78","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hutt South",0.028924775,0.0396121867227993,0.0152021718181931,0.0945071104822371,0
"79","GILBERT, Paul","ACT",2017,"Ilam",0.011722365,0.00148444842902118,0.000283865227193867,0.00512858135553948,0
"80","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ilam",0.122056555,0.113581094934431,0.103973640436341,0.123783482162215,0
"81","RIMELL, Anthony","Labour Party",2017,"Ilam",0.23496144,0.251909897020808,0.226521198508857,0.277318216231484,0
"82","BROWNLEE, Gerry","National Party",2017,"Ilam",0.580771208,0.619843039649018,0.582304448830731,0.648853324546714,1
"83","SURENDRAN, Rochelle","Green Party",2017,"Invercargill",0.074243813,0.0768809179555193,0.0688505055115195,0.085466072315379,0
"84","CRAIG, Liz","Labour Party",2017,"Invercargill",0.298502903,0.318304588726005,0.293295934298181,0.344949777707959,0
"85","DOWIE, Sarah","National Party",2017,"Invercargill",0.520928811,0.484658108901044,0.449397107946481,0.512802752180126,0.9996
"86","BOND, Ria","New Zealand First Party",2017,"Invercargill",0.07505856,0.0905708365085654,0.035227762488032,0.171932624930736,4e-04
"87","EVANS, Richard","ACT",2017,"Kaikoura",0.003666735,0.000451338198379087,9.40430367822682e-05,0.00175265854283615,0
"88","McCUBBIN, Richard","Green Party",2017,"Kaikoura",0.083825626,0.086807032460205,0.0782371962944199,0.0956207154126529,0
"89","WALKER, Janette","Labour Party",2017,"Kaikoura",0.229374618,0.250002372134068,0.221128943807572,0.277588445938037,0
"90","SMITH, Stuart","National Party",2017,"Kaikoura",0.577408841,0.540089337061362,0.506019944463629,0.568300541748958,1
