"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00212057000142663,0.000463801632406028,0.00714679575454955
"2","Conservative Party",0.0399,0.00106121577121057,6.18259421293665e-05,0.0111308036271278
"3","Green Party",0.107,0.109634303810108,0.0906047823541752,0.127451482926878
"4","Labour Party",0.2513,0.299087310935276,0.251796100482514,0.348682384129553
"5","Mana",0.0142,0.00181635380377511,0.00012838211670204,0.0169595654767442
"6","Maori Party",0.0132,0.0123935008813202,0.00616619165281727,0.0208678720434174
"7","National Party",0.4704,0.443226098714343,0.380651397928244,0.497212399891721
"8","New Zealand First Party",0.0866,0.0783492486161083,0.0356920067758015,0.158963976342606
"9","United Future",0.0022,0.0130097569333477,0.00139589739809473,0.0772480621033871
