"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,1,0,1
"2","Conservative Party",0,0,0,7
"3","Green Party",14,10,5,15
"4","Labour Party",32,29,15,40
"5","Mana",0,1,0,3
"6","Maori Party",2,2,1,15
"7","National Party",60,53.5,27,67
"8","New Zealand First Party",11,15.5,2,61
"9","United Future",1,0.5,0,1
