"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"1","VAN VELDEN, Brooke","ACT",2017,"Auckland Central",0.007048823,0.00124020469579485,0.000152125524371986,0.00618457889780337,0
"2","ROCHE, Denise","Green Party",2017,"Auckland Central",0.0763,0.111664539138556,0.0906972382527443,0.128685499252659,0
"3","WHITE, Helen","Labour Party",2017,"Auckland Central",0.436301441,0.304767025209009,0.224825897542232,0.358538753379756,2e-04
"4","KAYE, Nikki","National Party",2017,"Auckland Central",0.458380844,0.481340986218851,0.346080534934479,0.547543610935845,0.9998
"5","CARLEY, Bruce","ACT",2017,"Bay of Plenty",NA,0.00103114074891469,0.000544017539557396,0.00858740885027332,0
"6","WARREN-CLARK, Angie","Labour Party",2017,"Bay of Plenty",0.185374846,0.173504985769713,0.127724193525452,0.230703302727345,0
"7","MULLER, Todd","National Party",2017,"Bay of Plenty",0.606923392,0.539824752770623,0.431931258780666,0.607439502601484,0.8828
"8","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Bay of Plenty",0.069346838,0.201415402575848,0.0330179480609631,0.593702537164265,0.1172
"9","RICKARD, Ben","United Future",2017,"Bay of Plenty",0.003789431,0.000500303069403889,5.53288986308835e-05,0.00662749688131387,0
"10","ZHU, Julie","Green Party",2017,"Botany",NA,0.0337988437178431,0.020299945804905,0.0555528890340212,0
"11","MAMEDOV, Tofik","Labour Party",2017,"Botany",0.233632193,0.245240999029543,0.180113229475912,0.290823629576535,0
"12","ROSS, Jami-Lee","National Party",2017,"Botany",0.651271893,0.564326409128057,0.456683867499501,0.627209498068696,1
"13","LIGHT, Damian","United Future",2017,"Botany",0.004613492,0.000485907346507779,5.55765958211789e-05,0.00670801706342314,0
"14","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Christchurch Central",0.084359797,0.101164859456197,0.0803360129382794,0.115742424830685,0
"15","WEB, Duncan","Labour Party",2017,"Christchurch Central",0.389297174,0.320834612831144,0.236445620628053,0.370714177404243,4e-04
"16","WAGNER, Nicky","National Party",2017,"Christchurch Central",0.462167477,0.481307390590816,0.346841862248165,0.55057616905479,0.812
"17","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Christchurch Central",0.126792298,0.15792881783405,0.0187349880893187,0.747144296482662,0.1876
"18","SEVERIN, Toni","ACT",2017,"Christchurch East",0.003622813,0.000350195759928144,7.30302707099726e-05,0.00273341869546065,0
"19","SWEET, Cathy","Green Party",2017,"Christchurch East",0.10132976,0.0993676063307477,0.0789623323692084,0.113668202857036,0
"20","WILLIAMS, Poto","Labour Party",2017,"Christchurch East",0.48087826,0.383019797616593,0.282183094216677,0.435082855579301,0.7156
"21","HAYES, Jo","National Party",2017,"Christchurch East",0.352128647,0.359566446344726,0.240500009481714,0.420244700127635,0.2844
"22","GOLDSMITH, Rachael","Green Party",2017,"Clutha-Southland",0.071217223,0.0715080276502718,0.0560617139258473,0.0843715556289365,0
"23","CHAPMAN, Cherie","Labour Party",2017,"Clutha-Southland",0.198347107,0.188701535674539,0.138612084580434,0.236022193259751,0
"24","BARCLAY, Todd","National Party",2017,"Clutha-Southland",0.640648913,0.579452391974383,0.476260788200883,0.636054752833294,1
"25","PATTERSON, Mark","New Zealand First Party",2017,"Clutha-Southland",NA,0.057794630302382,0.0111213989836575,0.179605748498633,0
"26","SHIRIWASTOW, Vineet","ACT",2017,"Coromandel",0.004278729,0.000391418435797475,8.0303924520339e-05,0.00314998631102518,0
"27","SUMMERFIELD, Scott","Green Party",2017,"Coromandel",0.164221679,0.107294307702583,0.0837499065381517,0.125740387703448,0
"28","BLOMFIELD, Nathaniel","Labour Party",2017,"Coromandel",0.113386308,0.158316288203022,0.116427370071081,0.202619102433129,0
"29","SIMPSON, Scott","National Party",2017,"Coromandel",0.587306438,0.584569063417895,0.457894302364999,0.660566851427202,0.8816
"30","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Coromandel",0.082964488,0.19964834109218,0.030792294147935,0.63941127032289,0.1184
"31","PURCHAS, Sam","ACT",2017,"Dunedin North",NA,0.00118941072237164,0.000555725545561752,0.00936186507458674,0
"32","BOULD, Niki","Green Party",2017,"Dunedin North",0.173691193,0.153676252305867,0.126297770985156,0.177476329494282,0
"33","CLARK, David","Labour Party",2017,"Dunedin North",0.473925911,0.429600502459785,0.315948731589623,0.488458146980709,0.9888
"34","WOODHOUSE, Michael","National Party",2017,"Dunedin North",0.30207164,0.300354492862913,0.160385734208852,0.364439411253808,0.008
"35","VOIGHT, Warren","New Zealand First Party",2017,"Dunedin North",NA,0.0634826676915022,0.0121940525242869,0.219846439444916,0.0032
"36","DOUGHTY, Dan","ACT",2017,"Dunedin South",0.003875574,0.000358203058376975,7.32181450949066e-05,0.00268047781676711,0
"37","GALLAGHER, Shane","Green Party",2017,"Dunedin South",0.075879653,0.0882245417477836,0.0697461280761561,0.100917763618612,0
"38","CURRAN, Clare","Labour Party",2017,"Dunedin South",0.490668027,0.445436930583855,0.333592598237668,0.502200406897876,0.9328
"39","GREGORY, Matt","National Party",2017,"Dunedin South",0.38663947,0.372186513521055,0.249377144447678,0.433557181295698,0.0654
"40","RUSHTON, Kerry","New Zealand First Party",2017,"Dunedin South",NA,0.0691843534398275,0.0157809272281273,0.216308328629117,0.0018
"41","HUGHES, Gareth","Green Party",2017,"East Coast",0.07762604,0.0791485485833899,0.0624322415089443,0.0929578389013532,0
"42","ALLAN, Kiri","Labour Party",2017,"East Coast",0.293870007,0.269990581449388,0.199047945359571,0.321876696633405,0
"43","TOLLEY, Anne","National Party",2017,"East Coast",0.523873088,0.528883691980476,0.397148995623805,0.604066831583157,0.932
"44","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"East Coast",0.028818737,0.128776142422475,0.0197891380183978,0.445641422857183,0.068
"45","TURNER, Judy","United Future",2017,"East Coast",NA,0.000736920597723403,0.000361178985797299,0.00938182907998651,0
"46","BERRY, Stephen","ACT",2017,"East Coast Bays",0.01690896,0.00241427548380983,0.000263880189678504,0.0114392903392846,0
"47","MAYNE, Nicholas","Green Party",2017,"East Coast Bays",0.099446381,0.082916801688917,0.0650524588752655,0.0985934501918061,0
"48","CHEN, Naisi","Labour Party",2017,"East Coast Bays",0.12148862,0.143219175967687,0.1053287769683,0.191941523986939,0
"49","STANFORD, Erica","National Party",2017,"East Coast Bays",0.619233135,0.572228647214719,0.471118258611244,0.635029375998876,1
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.213613818550568,0.0526926587659268,0.463135823381969,0.6186
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0774500923716978,0.0588651232249979,0.0918747267694693,0.0138
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.084704399966216,0.0634030103620234,0.108729682588062,0.0506
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.0237821457011727,4.88975681613035e-07,2.10935838288628,0.2714
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.0496211937923721,0.0191552166702927,0.121468150857999,0.0456
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.000658824377033058,0.000102952762880365,0.00407725815451103,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0826972651640615,0.0646744398042511,0.0959338485547932,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.267526191760141,0.197308176425494,0.317195191768297,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.555505080098951,0.421774653305771,0.629895119957237,0.795
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.20624103586042,0.022988310931135,0.906214405461625,0.205
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0589631267699159,0.0357502370223531,0.0837993878368797,0
"61","GAURAV, Sharma","Labour Party",2017,"Hamilton West",0.354278628,0.306359500577737,0.226000808549362,0.360745009355094,0
"62","MACINDOE, Tim","National Party",2017,"Hamilton West",0.531004547,0.525780642689524,0.391973241831392,0.602746854811376,0.9374
"63","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton West",0.02618708,0.117080828390328,0.0173327604635241,0.426637095645974,0.0626
"64","TODD, Quentin","United Future",2017,"Hamilton West",0.002170094,0.00046989345769378,5.34163629379675e-05,0.00542129992872996,0
"65","EVANS, Alex","ACT",2017,"Helensville",0.008691207,0.000849875749712342,0.00013289758486641,0.00547535292751539,0
"66","HOLT, Hayley","Green Party",2017,"Helensville",0.12791411,0.111237365131765,0.087458194039477,0.127542119177181,0
"67","TAOGAGA, Kurt","Labour Party",2017,"Helensville",0.127709611,0.147979762449751,0.108823266611822,0.193405307788623,0
"68","PENK, Chris","National Party",2017,"Helensville",0.655623722,0.56032700332119,0.45004697081703,0.623498785407122,1
"69","PETERSON, Helen","New Zealand First Party",2017,"Helensville",NA,0.0646524570731859,0.012929979923485,0.193708498231734,0
"70","SMITH, Anthony","ACT",2017,"Hunua",0.012146166,0.00114338266074439,0.000170608747914939,0.00645314270921462,0
"71","KAUR, Baljit","Labour Party",2017,"Hunua",0.17858981,0.171514205279586,0.125502301989573,0.22243916547956,0
"72","BAYLY, Andrew","National Party",2017,"Hunua",0.675553268,0.593628892814461,0.489666384710322,0.655472492210302,0.968
"73","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hunua",0.052282242,0.134337133478694,0.0188046585336844,0.471592483233125,0.032
"74","PARKINS, Andy","ACT",2017,"Hutt South",0.004687182,0.000634703624634202,0.000102632619273343,0.00407858495491441,0
"75","RUTHVEN, Susanne","Green Party",2017,"Hutt South",0.083452211,0.0926029411519728,0.0730405936689217,0.106108197229207,0
"76","ANDERSEN, Ginny","Labour Party",2017,"Hutt South",0.438047687,0.346206922792694,0.255000884197197,0.397632711105942,0.0556
"77","BISHOP, Chris","National Party",2017,"Hutt South",0.419604646,0.412571494739908,0.299143684059565,0.471631223877351,0.834
"78","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hutt South",0.028924775,0.0935673386828931,0.0110377330621178,0.433406107048852,0.1104
"79","GILBERT, Paul","ACT",2017,"Ilam",0.011722365,0.00127039617946467,0.000172517498292833,0.00678154002251702,0
"80","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ilam",0.122056555,0.107202114814716,0.0843834923728521,0.122259252409456,0
"81","RIMELL, Anthony","Labour Party",2017,"Ilam",0.23496144,0.219692365058401,0.16173909080385,0.2656803219854,0
"82","BROWNLEE, Gerry","National Party",2017,"Ilam",0.580771208,0.602977604300716,0.482660720229281,0.665626419280998,1
"83","SURENDRAN, Rochelle","Green Party",2017,"Invercargill",0.074243813,0.0720137015990886,0.0560546239792711,0.0853820664980457,0
