"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00172782152881634,0.00010956315757239,0.0120296245173018
"2","Conservative Party",0.0399,0.000954642775379089,1.25953077673855e-06,0.0549148016467145
"3","Green Party",0.107,0.0949912563096683,0.0547643864601575,0.12862373788417
"4","Labour Party",0.2513,0.237191511656552,0.135707861959382,0.321105691300595
"5","Mana",0.0142,0.000762661506113819,2.6414426635353e-06,0.030537921749279
"6","Maori Party",0.0132,0.0136718092871994,0.00406235100811781,0.175422443417953
"7","National Party",0.4704,0.414916804509145,0.236186102139528,0.539693564827268
"8","New Zealand First Party",0.0866,0.154756454318955,0.0272769270173751,0.505230401112083
"9","United Future",0.0022,0.000635943491336215,2.46611237453692e-05,0.0128484363147419
