"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,6
"3","Green Party",14,11,6,16
"4","Labour Party",5,8,0,17
"5","Mana",0,0,0,3
"6","Maori Party",1,0,0,20
"7","National Party",19,7,0,18
"8","New Zealand First Party",11,19,3,40
"9","United Future",0,0,0,0
