"","Party","NatEr","SD"
"1","Labour",-0.0233978861936751,0.00192715944194158
"2","National",0.00426494553577245,0.000862571623471556
"3","NZ First",-0.00303680883954643,0.000765755380702424
"4","ACT",-0.00134313078745985,0.000139377241675631
"5","Green",0.000628648476357129,0.000688541847367635
"6","United Future",-0.00364863305682737,0.000195161722455159
"7","Maori",-0.0526708625398609,0.00564598667108833
"8","Mana",-0.0125153634415108,0.0116117372389527
"9","Conservative",0.00202511954952531,0.000117137164831048
