"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.261236369965437,0.141273883763863,0.375470575736892,0.9808
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0689197655637974,0.0571976868796683,0.0809879288221738,0
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.105497500529683,0.0822051537597706,0.137133106423711,0.015
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.0583941320917403,0.0220490127131696,0.128424928312591,0.0042
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.046504646930397,0.0355453486837338,0.0628582390856158,0
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.000899932732243971,0.000262927033220742,0.00241997829982721,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0729812809294369,0.0667433531373876,0.0790094933418199,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.321749189266012,0.312912089111604,0.331220890130918,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.567845340731753,0.557183315941259,0.578267775568131,1
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.156647928164763,0.116836853098473,0.2010234187398,0
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0447113826780397,0.0395855432202808,0.050235508524148,0
"61","GAURAV, Sharma","Labour Party",2017,"Hamilton West",0.354278628,0.35983596630251,0.350790212438319,0.368702110980198,0
"62","MACINDOE, Tim","National Party",2017,"Hamilton West",0.531004547,0.538114129758893,0.527826497225718,0.548954593123785,1
"63","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton West",0.02618708,0.0934066773697964,0.0765485837580673,0.112525054657816,0
"64","TODD, Quentin","United Future",2017,"Hamilton West",0.002170094,0.000963764758647219,0.000179999433144806,0.00343057126675618,0
"65","EVANS, Alex","ACT",2017,"Helensville",0.008691207,0.00123072692394605,0.000349888126921939,0.00323110630222034,0
"66","HOLT, Hayley","Green Party",2017,"Helensville",0.12791411,0.0981536053376688,0.0905774288282946,0.105618645833381,0
"67","TAOGAGA, Kurt","Labour Party",2017,"Helensville",0.127709611,0.200518754381552,0.190856021480791,0.209746620207744,0
"68","PENK, Chris","National Party",2017,"Helensville",0.655623722,0.570773708051719,0.558954291540793,0.582876270985873,1
"69","PETERSON, Helen","New Zealand First Party",2017,"Helensville",NA,0.0548389628398562,0.0392819842183025,0.0765386419221973,0
"70","SMITH, Anthony","ACT",2017,"Hunua",0.012146166,0.00162343959707951,0.0004755352757661,0.00421433051990768,0
"71","KAUR, Baljit","Labour Party",2017,"Hunua",0.17858981,0.220484854622713,0.211319435865102,0.229472312500567,0
