"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00195702684159126,0.00096242218261405,0.00378916992001358
"2","Auckland Central",2017,"Conservative Party",0.0173,5e-04,5e-04,0.000620358667671364
"3","Auckland Central",2017,"Green Party",0.2217,0.112421043997187,0.098666833237506,0.127531095826098
"4","Auckland Central",2017,"Labour Party",0.2167,0.410370068663477,0.389104403237772,0.430644704405989
"5","Auckland Central",2017,"Mana",0.0196,0.00116222682373904,0.000504330742596093,0.0034523852368209
"6","Auckland Central",2017,"Maori Party",0.0056,0.00510040918407203,0.00386285182643335,0.00856426931337051
"7","Auckland Central",2017,"National Party",0.4493,0.378319119105961,0.363038786309793,0.393609788709182
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0742318275244908,0.0500299182706718,0.102636407344846
"9","Auckland Central",2017,"United Future",0.0019,0.00164968853090245,0.000610344250248177,0.00563572733416831
"10","Bay of Plenty",2017,"ACT",0.0025,5e-04,5e-04,0.000809651692310594
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.000818640486177701,5e-04,0.00202961275087856
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0341315530482927,0.0293275461017956,0.0394091218754923
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.279007120467517,0.262719109494094,0.295724764727415
"14","Bay of Plenty",2017,"Mana",0.0051,5e-04,5e-04,0.000898324729989112
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.00519148791950189,0.00393183132333395,0.00799506099591059
"16","Bay of Plenty",2017,"National Party",0.5766,0.505619119105961,0.490338786309793,0.520909788709182
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.156566814506845,0.134636498203314,0.178441591022479
"18","Bay of Plenty",2017,"United Future",0.0021,0.00182333995520797,0.000674591013432195,0.00493971065719377
"19","Botany",2017,"ACT",0.0241,0.00403114075917515,0.00198242517957253,0.00780504231387413
"20","Botany",2017,"Conservative Party",0.0453,0.00065520166119876,5e-04,0.00162440737835334
"21","Botany",2017,"Green Party",0.0435,0.0205355817095537,0.0176452040861426,0.023710882456209
"22","Botany",2017,"Labour Party",0.2227,0.363887686959861,0.348062561630172,0.379054013589286
"23","Botany",2017,"Mana",0.0061,5e-04,5e-04,0.00107446683390855
"24","Botany",2017,"Maori Party",0.0021,0.00191265344402701,0.00144856943491251,0.00428048360228242
"25","Botany",2017,"National Party",0.5965,0.525519119105961,0.510238786309793,0.540809788709182
"26","Botany",2017,"New Zealand First Party",0.0544,0.0707470472271601,0.0525410724695859,0.0915127133735208
"27","Botany",2017,"United Future",0.0015,0.00130238568229141,5e-04,0.00419321476376854
"28","Christchurch Central",2017,"ACT",0.0049,0.000819609531948476,5e-04,0.00158691731692877
"29","Christchurch Central",2017,"Conservative Party",0.0311,5e-04,5e-04,0.00111521124650748
"30","Christchurch Central",2017,"Green Party",0.1582,0.0746834258954344,0.0641717537109828,0.0862313012545349
"31","Christchurch Central",2017,"Labour Party",0.2625,0.433665929831257,0.415034038592787,0.451517258198767
"32","Christchurch Central",2017,"Mana",0.0103,0.000610762055332248,5e-04,0.00181426367037017
"33","Christchurch Central",2017,"Maori Party",0.0046,0.00418962182977345,0.00317305685742739,0.00722864042407838
"34","Christchurch Central",2017,"National Party",0.4466,0.375619119105961,0.360338786309793,0.390909788709182
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.0917747687934229,0.0694430718853534,0.11684464159182
"36","Christchurch Central",2017,"United Future",0.0023,0.00199699137951349,0.000738837776616214,0.00560015701454107
"37","Christchurch East",2017,"ACT",0.0033,0.000551981929679585,5e-04,0.00106874023384998
"38","Christchurch East",2017,"Conservative Party",0.0326,5e-04,5e-04,0.00116899957029401
"39","Christchurch East",2017,"Green Party",0.1266,0.0597656240098735,0.051353628443808,0.0690068441139325
"40","Christchurch East",2017,"Labour Party",0.3216,0.477435928952723,0.460235625990601,0.494502615754322
"41","Christchurch East",2017,"Mana",0.0088,0.000521816124944057,5e-04,0.00155005051449102
"42","Christchurch East",2017,"Maori Party",0.004,0.00364314941719431,0.00275917987602382,0.00639737566625037
"43","Christchurch East",2017,"National Party",0.3979,0.326919119105961,0.311638786309793,0.342209788709182
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.112560977399135,0.0912707968451446,0.135407749524554
"45","Christchurch East",2017,"United Future",0.0023,0.00199699137951349,0.000738837776616214,0.00530010536362998
"46","Clutha-Southland",2017,"ACT",0.0036,0.000602162105105002,5e-04,0.00116589843692726
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.000728966086631734,5e-04,0.00180728767922755
"48","Clutha-Southland",2017,"Green Party",0.0773,0.036491964739046,0.0313557304795131,0.0421345106635623
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.292437910044608,0.276458308816659,0.30779873813234
"50","Clutha-Southland",2017,"Mana",0.0046,5e-04,5e-04,0.000810253678029395
"51","Clutha-Southland",2017,"Maori Party",0.0033,0.00300559826918531,0.00227632339771965,0.00554416354488061
"52","Clutha-Southland",2017,"National Party",0.6338,0.562819119105961,0.547538786309793,0.578109788709182
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0.0792403897251467,0.0602677007739367,0.100650623170502
"54","Clutha-Southland",2017,"United Future",0.002,0.00173651424305521,0.000642467631840186,0.00477861721968074
"55","Coromandel",2017,"ACT",0.0037,0.000618888830246808,5e-04,0.00119828450461968
"56","Coromandel",2017,"Conservative Party",0.0528,0.000763678757423721,5e-04,0.00189334899728601
"57","Coromandel",2017,"Green Party",0.0982,0.0463584856063948,0.0398335411783724,0.0535266357976949
"58","Coromandel",2017,"Labour Party",0.1571,0.31592101376759,0.298826707784638,0.333215844785405
"59","Coromandel",2017,"Mana",0.0068,5e-04,5e-04,0.00119776630665215
"60","Coromandel",2017,"Maori Party",0.0049,0.00446285803606303,0.00337999534812918,0.00736354444187888
"61","Coromandel",2017,"National Party",0.5417,0.470719119105961,0.455438786309793,0.486009788709182
"62","Coromandel",2017,"New Zealand First Party",0.125,0.143397322374647,0.120728567255482,0.166570325997025
"63","Coromandel",2017,"United Future",0.0017,0.00147603710659693,0.000546097487064158,0.00475423305304763
"64","Dunedin North",2017,"ACT",0.0032,0.00053525520453778,5e-04,0.00103635416615756
"65","Dunedin North",2017,"Conservative Party",0.0273,5e-04,5e-04,0.000978947492914925
"66","Dunedin North",2017,"Green Party",0.2294,0.120121043997187,0.106366833237506,0.135231095826098
"67","Dunedin North",2017,"Labour Party",0.3182,0.512418977185517,0.491103006429955,0.53272050490437
"68","Dunedin North",2017,"Mana",0.0172,0.00101991333511793,5e-04,0.00302964418741426
"69","Dunedin North",2017,"Maori Party",0.0035,0.00318775574004502,0.00241428239152084,0.00647364420299077
"70","Dunedin North",2017,"National Party",0.3226,0.251619119105961,0.236338786309793,0.266909788709182
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.0900033151183336,0.0651934263179604,0.1184442406397
"72","Dunedin North",2017,"United Future",0.0025,0.00217064280381901,0.000803084539800232,0.00625629182393708
"73","Dunedin South",2017,"ACT",0.0033,0.000551981929679585,5e-04,0.00106874023384998
"74","Dunedin South",2017,"Conservative Party",0.0293,5e-04,5e-04,0.00105066525796364
"75","Dunedin South",2017,"Green Party",0.1229,0.0580189193587161,0.049852772004297,0.0669900564107607
"76","Dunedin South",2017,"Labour Party",0.3327,0.483368798748562,0.466619605029387,0.499998627504536
"77","Dunedin South",2017,"Mana",0.0082,5e-04,5e-04,0.00144436525213936
"78","Dunedin South",2017,"Maori Party",0.0025,0.00227696838574644,0.00172448742251489,0.00482249123808542
"79","Dunedin South",2017,"National Party",0.3987,0.327719119105961,0.312438786309793,0.343009788709182
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0.108550690464939,0.0879869798157955,0.130650139001193
"81","Dunedin South",2017,"United Future",0.0017,0.00147603710659693,0.000546097487064158,0.00459878055110484
"82","East Coast",2017,"ACT",0.0023,5e-04,5e-04,0.000744879556925747
"83","East Coast",2017,"Conservative Party",0.0408,0.000590115403463785,5e-04,0.00146304240699374
"84","East Coast",2017,"Green Party",0.0921,0.0434787833436758,0.037359156237557,0.0502016614762495
"85","East Coast",2017,"Labour Party",0.2274,0.376763119286435,0.360238088997064,0.393380459933298
"86","East Coast",2017,"Mana",0.0117,0.000693778257027894,5e-04,0.00206086261585737
