"","Party","2014 Seats","median","lowr","upr"
"1","ACT",0,0,0,0
"2","Conservative Party",0,0,0,0
"3","Green Party",14,6,4,7
"4","Labour Party",5,23,20,26
"5","Mana",0,0,0,0
"6","Maori Party",1,0,0,0
"7","National Party",19,11,9,13
"8","New Zealand First Party",11,12,10,15
"9","United Future",0,0,0,0
