"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.00740560706109386,0.00411725731127017,0.000404272066891371,0.0238313319991229
"2","Hauraki-Waikato","Conservative Party",0.0076,0.0348648965629565,0.00997000566485351,0.000616408829256715,0.051529917016069
"3","Hauraki-Waikato","Green Party",0.0977,0.0916487909485379,0.106151071468568,0.0528569695549614,0.161718125514335
"4","Hauraki-Waikato","Labour Party",0.465,0.404469342987481,0.486744669003963,0.394075700833398,0.596572196606772
"5","Hauraki-Waikato","Mana",0.0808,0.0455962081643172,0.0658948204886142,0.0162834863125741,0.116193220494585
"6","Hauraki-Waikato","Maori Party",0.1197,0.0751022312726019,0.0929483150035832,0.0305017692138851,0.15155556827769
"7","Hauraki-Waikato","National Party",0.0757,0.0886005068686706,0.0777481573923451,0.0321737997754655,0.127185382462698
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.247975767735879,0.139950951174605,0.00359354356827518,0.261793603014947
"9","Hauraki-Waikato","United Future",7e-04,0.0043366483984619,0.00293189111559885,0.000279499138933725,0.0105856008657851
"10","Ikaroa Rawhiti","ACT",0.0011,0.00466353678904722,0.00362234292996147,0.000356318653197487,0.0167786390228415
"11","Ikaroa Rawhiti","Conservative Party",0.006,0.0471628885576425,0.00816757239265055,0.000535052013571282,0.0455897581954189
"12","Ikaroa Rawhiti","Green Party",0.1043,0.0840085514834327,0.112291870859839,0.0581144015560156,0.16915677269344
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.633496073258146,0.500555535979693,0.410346644591255,0.609647473738164
"14","Ikaroa Rawhiti","Mana",0.0987,0.0820400206093905,0.084216242146987,0.0299741518599214,0.138615761229399
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.106895818284413,0.0953074197009049,0.0373014276277199,0.15587468689478
"16","Ikaroa Rawhiti","National Party",0.0545,0.0286078890569911,0.0563367109533348,0.0149303885122935,0.0996416799315295
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.0131093465102087,0.125446263402905,0.00319610832936331,0.241137050079451
"18","Ikaroa Rawhiti","United Future",3e-04,1.58754507281367e-05,0.00249954883198449,0.00026654261005297,0.00585642843436925
"19","Tamaki Makaurau","ACT",0.0019,0.00853227859951926,0.00397784259816974,0.000408313203655605,0.0224609127525794
"20","Tamaki Makaurau","Conservative Party",0.0062,0.0332572365108095,0.00841183240578725,0.000511106722042367,0.0448517172025275
"21","Tamaki Makaurau","Green Party",0.1181,0.084371337215441,0.124334459183959,0.0672982055966582,0.183452729698935
"22","Tamaki Makaurau","Labour Party",0.4084,0.454748572532893,0.42834478400097,0.337329487533997,0.533455400999631
"23","Tamaki Makaurau","Mana",0.1082,0.154253064912218,0.0936006029627114,0.0385388608627114,0.150020570510709
"24","Tamaki Makaurau","Maori Party",0.1284,0.181773091779129,0.0999954817237433,0.0397098459903763,0.161190646550649
"25","Tamaki Makaurau","National Party",0.0763,0.0750490257149423,0.0781973239788149,0.030798509493742,0.126984633407302
"26","Tamaki Makaurau","New Zealand First Party",0.1412,0.00505770130238041,0.149008658056619,0.00430629381275946,0.274959144021637
"27","Tamaki Makaurau","United Future",8e-04,0.00295769143266786,0.00289633186889151,0.000285594093892617,0.0112056783562013
"28","Te Tai Hauauru","ACT",0.0013,0.00656000007983306,0.00369449401013311,0.000377051543878426,0.0184113839082695
"29","Te Tai Hauauru","Conservative Party",0.0057,0.00307214373857599,0.00863584455170691,0.000523904954486301,0.0443563831525383
"30","Te Tai Hauauru","Green Party",0.1193,0.115256426672483,0.127188134134887,0.0681951736754478,0.187495146855793
"31","Te Tai Hauauru","Labour Party",0.4223,0.378746232821986,0.443558113625435,0.353997570419956,0.543494493739705
"32","Te Tai Hauauru","Mana",0.0682,0.0575420175487105,0.0549047405802346,0.00626105933086946,0.100189359962413
"33","Te Tai Hauauru","Maori Party",0.1764,0.173674647387117,0.147620588511686,0.0791754182459754,0.215678856879702
"34","Te Tai Hauauru","National Party",0.0711,0.0920435088364485,0.073193773672385,0.0260211145931855,0.121099923466594
"35","Te Tai Hauauru","New Zealand First Party",0.1179,0.171616636080154,0.128525510028767,0.00336917531348471,0.243133681649026
"36","Te Tai Hauauru","United Future",7e-04,0.00148838683469193,0.00294346832173018,0.000288748176095241,0.0108411809267045
"37","Te Tai Tokerau","ACT",0.0016,0.00720848574421038,0.00393944538072359,0.000403880210958253,0.020577027190466
"38","Te Tai Tokerau","Conservative Party",0.0068,0.0138007234270744,0.0103734118353384,0.000626034507448781,0.049064032670776
"39","Te Tai Tokerau","Green Party",0.1006,0.0779078358930766,0.10750698074461,0.0547319175584557,0.164151342285767
"40","Te Tai Tokerau","Labour Party",0.3547,0.321706674300087,0.377099530466498,0.287742846488873,0.477732148087735
"41","Te Tai Tokerau","Mana",0.1875,0.182325706926234,0.17226525224186,0.104094438894307,0.24410682014728
"42","Te Tai Tokerau","Maori Party",0.1015,0.0634175016721054,0.0746559011066173,0.017124353467402,0.130804900213427
"43","Te Tai Tokerau","National Party",0.0856,0.131409934960719,0.0865086819730646,0.0371611857544654,0.140187767061707
"44","Te Tai Tokerau","New Zealand First Party",0.1455,0.199117137426884,0.153743997052845,0.00454918513861757,0.273805064801103
"45","Te Tai Tokerau","United Future",8e-04,0.00310599964960934,0.00298671072938722,0.000292954311583093,0.0115777313652192
"46","Te Tai Tonga","ACT",0.0017,0.00215796342347169,0.00403371904241181,0.000417445795180283,0.0216033141036906
"47","Te Tai Tonga","Conservative Party",0.0074,0.0402660822734905,0.0100411731503306,0.000584787584814354,0.0521167534731923
"48","Te Tai Tonga","Green Party",0.1651,0.173040794452209,0.173458186497545,0.109886521319787,0.242916065840154
"49","Te Tai Tonga","Labour Party",0.3692,0.397655668072897,0.392186058775211,0.307520426497842,0.493514823874636
"50","Te Tai Tonga","Mana",0.0496,0.0415534736488628,0.0360473173725962,0.00258145838681188,0.0772600562485638
"51","Te Tai Tonga","Maori Party",0.1125,0.108261102365089,0.0853075560029081,0.0279046497434589,0.145365968073006
"52","Te Tai Tonga","National Party",0.1445,0.118585765956899,0.147333358514426,0.0845726250211558,0.211606283171996
"53","Te Tai Tonga","New Zealand First Party",0.1289,0.117401721823614,0.134398433421519,0.00343007768896669,0.257291645885013
"54","Te Tai Tonga","United Future",9e-04,0.00107742798346792,0.00310468389671607,0.000319867708222923,0.0121710538222814
"55","Waiariki","ACT",8e-04,0.000852507745938186,0.00335451388888064,0.000300334311631404,0.0142537820034987
"56","Waiariki","Conservative Party",0.0035,0.00439321410567641,0.00640382912467178,0.000545753624929777,0.0348689805335945
"57","Waiariki","Green Party",0.0806,0.125117306655057,0.0888637206945976,0.040431971737277,0.139453509447088
"58","Waiariki","Labour Party",0.3877,0.382410924509644,0.409671592035945,0.323693867708583,0.511601960331928
"59","Waiariki","Mana",0.1139,0.207845340113323,0.0989753304677101,0.0426153537247841,0.15737991805536
"60","Waiariki","Maori Party",0.2201,0.0905484514961482,0.192155096044684,0.11644229634968,0.266970158407283
"61","Waiariki","National Party",0.0505,0.0193505207507124,0.053379635717733,0.0117353255249387,0.0930047592948377
"62","Waiariki","New Zealand First Party",0.1267,0.165110007897567,0.136428650504841,0.00367884991564082,0.256415703528274
"63","Waiariki","United Future",5e-04,0.00437172672593367,0.00275650389605708,0.000270327538029265,0.00831496483326308
