"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00477087687145371,0.00187838360959931,0.00888644533109191
"2","Conservative Party",0.0399,0.000523341779597579,0.000252706035212063,0.00149212233342401
"3","Green Party",0.107,0.100157033629948,0.0906999960647631,0.11037658159786
"4","Labour Party",0.2513,0.283742014918449,0.266972767959069,0.300837399182137
"5","Mana",0.0142,0.00160964213001501,0.000408108172858246,0.00603717561128897
"6","Maori Party",0.0132,0.00671733446223073,0.00450149275215287,0.0101262709828286
"7","National Party",0.4704,0.448089931188131,0.431660213905479,0.464459761244192
"8","New Zealand First Party",0.0866,0.129682245663845,0.105813281947572,0.157299638569749
"9","United Future",0.0022,0.00241170042928897,0.000898856173222494,0.00658329073149157
