"","Party","Weight.Average","Trendline.Adjustment","National.Polling.Error.Estimate","median"
"1","ACT",0.0040970620777416,0.000100780062615972,0.000243935669125074,0.00440687279473408
"2","Conservative Party",0.000521051467359611,-4.80549516779308e-05,-2.00806631676833e-06,0.00056104727162289
"3","Green Party",0.132113686000632,0.000314125107147484,-0.00535590988914972,0.126804564945277
"4","Labour Party",0.244967866919562,-0.00817669144711661,0.00216885148519494,0.238606291823377
"5","Mana",0.000642821464157935,-2.51467775823531e-05,4.69218870093762e-05,0.000894864483361475
"6","Maori Party",0.0118162975228699,1.73333137413901e-05,0.000418779159375516,0.0122074840651133
"7","National Party",0.469399486077222,-0.0003941439061661,-0.015405186537984,0.452170325505048
"8","New Zealand First Party",0.118686075557628,0.00617862992032785,0.0178369653085419,0.142649225862403
"9","United Future",0.00157926963806068,2.29380194010592e-05,0.00136746169497649,0.0030394888080597
