"","Candidate","Party","Year","Electorate","2014 Vote","median","lowr","upr","% Win"
"50","SEYMOUR, David","ACT",2017,"Epsom",0.43413235,0.342399569807223,0.218744771723057,0.437763053919163,0.9759
"51","COATES, Barry","Green Party",2017,"Epsom",0.082155296,0.0858012635765273,0.0745626317473547,0.0994116019305463,0
"52","DAVID, Parker","Labour Party",2017,"Epsom",0.094345421,0.0852760211644374,0.076198508472302,0.095334087183882,1e-04
"53","GOLDSMITH, Paul","National Party",2017,"Epsom",0.318582258,0.13423062626543,0.0583542429266304,0.255574413582068,0.024
"54","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Epsom",0.021714404,0.0485835679592091,0.0370572841996186,0.0648501697634642,0
"55","McDOWALL, James","ACT",2017,"Hamilton East",0.004133512,0.00145441389497802,0.000519328409771278,0.00332088237170398,0
"56","TAYLOR, Sam","Green Party",2017,"Hamilton East",0.071923117,0.0938865229042053,0.0877764037708212,0.100640961469817,0
"57","STRANGE, Jamie","Labour Party",2017,"Hamilton East",0.271985119,0.268629897483252,0.25795305312986,0.279039406885702,0
"58","BENNETT, David","National Party",2017,"Hamilton East",0.573628191,0.579295922176141,0.568444735452607,0.589675061223071,1
"59","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton East",0.233549959,0.190211582650333,0.151700010521594,0.234416780416744,0
"60","WRIGLEY, Jo","Green Party",2017,"Hamilton West",NA,0.0805425194646888,0.0721432243803098,0.0900517591772976,0
"61","GAURAV, Sharma","Labour Party",2017,"Hamilton West",0.354278628,0.307626289940658,0.295369845454868,0.319191011195253,0
"62","MACINDOE, Tim","National Party",2017,"Hamilton West",0.531004547,0.549735962874003,0.538798900367627,0.560021047717513,1
"63","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hamilton West",0.02618708,0.11099150503021,0.0926078454116311,0.133307514431374,0
"64","TODD, Quentin","United Future",2017,"Hamilton West",0.002170094,0.00127077288303463,0.000275141632488779,0.00404584967379458,0
"65","EVANS, Alex","ACT",2017,"Helensville",0.008691207,0.00194516330776001,0.000686541126786193,0.00445769630867511,0
"66","HOLT, Hayley","Green Party",2017,"Helensville",0.12791411,0.124307966639932,0.115802351137995,0.133814833465638,0
"67","TAOGAGA, Kurt","Labour Party",2017,"Helensville",0.127709611,0.148774366065955,0.141321382122211,0.15679692869126,0
"68","PENK, Chris","National Party",2017,"Helensville",0.655623722,0.58058279798052,0.568598787287548,0.592693730505579,1
"69","PETERSON, Helen","New Zealand First Party",2017,"Helensville",NA,0.0606688557562376,0.0445974811253285,0.0817107675544415,0
"70","SMITH, Anthony","ACT",2017,"Hunua",0.012146166,0.00256378181396437,0.000938562070411012,0.00571907520393842,0
"71","KAUR, Baljit","Labour Party",2017,"Hunua",0.17858981,0.171999499682035,0.163784059757165,0.180987568830025,0
"72","BAYLY, Andrew","National Party",2017,"Hunua",0.675553268,0.613381490483423,0.600844938857038,0.626589828782639,1
"73","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hunua",0.052282242,0.127767759861698,0.106776096143083,0.151970978075401,0
"74","PARKINS, Andy","ACT",2017,"Hutt South",0.004687182,0.00138038453533479,0.000474045668245642,0.00335617252330968,0
"75","RUTHVEN, Susanne","Green Party",2017,"Hutt South",0.083452211,0.103404439496153,0.0966036839399877,0.110707556385847,0
"76","ANDERSEN, Ginny","Labour Party",2017,"Hutt South",0.438047687,0.346837221880868,0.333172450679511,0.359462420389681,0
"77","BISHOP, Chris","National Party",2017,"Hutt South",0.419604646,0.432532645366404,0.423526584114392,0.441640355610084,1
"78","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Hutt South",0.028924775,0.0837579464403971,0.0675832063260416,0.1032384097787,0
"79","GILBERT, Paul","ACT",2017,"Ilam",0.011722365,0.00281439200796024,0.00104788163276704,0.00610007262462109,0
"80","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Ilam",0.122056555,0.119396617551457,0.111603365810098,0.127971994435188,0
"81","RIMELL, Anthony","Labour Party",2017,"Ilam",0.23496144,0.220263201889982,0.210554662487515,0.229886949842701,0
"82","BROWNLEE, Gerry","National Party",2017,"Ilam",0.580771208,0.625349879213882,0.614846887983163,0.635861922974433,1
"83","SURENDRAN, Rochelle","Green Party",2017,"Invercargill",0.074243813,0.082726562040765,0.0771658968457947,0.0884442131253412,0
"84","CRAIG, Liz","Labour Party",2017,"Invercargill",0.298502903,0.285194367815987,0.274013100780323,0.29586128246655,0
"85","DOWIE, Sarah","National Party",2017,"Invercargill",0.520928811,0.490062735410899,0.479766824970559,0.499967502640897,1
"86","BOND, Ria","New Zealand First Party",2017,"Invercargill",0.07505856,0.158208569959358,0.134258988342217,0.187817558647162,0
"87","EVANS, Richard","ACT",2017,"Kaikoura",0.003666735,0.000792676860871376,0.000252738509659153,0.00211243384782783,0
"88","McCUBBIN, Richard","Green Party",2017,"Kaikoura",0.083825626,0.0926101698904793,0.0867762747515167,0.0987849703473538,0
"89","WALKER, Janette","Labour Party",2017,"Kaikoura",0.229374618,0.21489327581521,0.205437486838517,0.224565062020059,0
"90","SMITH, Stuart","National Party",2017,"Kaikoura",0.577408841,0.545002932048876,0.53404668056889,0.555845441092951,1
"91","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Kaikoura",0.016902274,0.0844851250271541,0.0705461474101938,0.100789355709085,0
"92","FOSTER, John","United Future",2017,"Kaikoura",NA,0.00275841099130604,0.00112690443857644,0.00542593669437184,0
"93","GENERIC GREEN PARTY CANDIDATE","Green Party",2017,"Kelston",0.069263618,0.090346177929967,0.0848924255232829,0.0961997607893797,0
"94","SEPULONI, Carmel","Labour Party",2017,"Kelston",0.509009478,0.456352638277084,0.448899454976016,0.464437616381568,1
"95","BEERAM, Bala","National Party",2017,"Kelston",0.327986668,0.332161579842791,0.322307827949043,0.34159300380337,0
"96","DEGIA-PALA, Anne","New Zealand First Party",2017,"Kelston",0.043224664,0.101154208389073,0.0843685114885238,0.12063479085438,0
"97","SHAN, Ng","ACT",2017,"Mana",NA,0.00187000803472192,0.000894431280376862,0.00375052009423861,0
"98","LOGIE, Jan","Green Party",2017,"Mana",0.084359606,0.103539148145006,0.0969793058216202,0.110982892523401,0
"99","FAAFOI, Kris","Labour Party",2017,"Mana",0.548132184,0.473435386762358,0.456607820510966,0.488540090560726,1
"100","MURREL, Euon","National Party",2017,"Mana",0.326252053,0.372314388134194,0.363699383497661,0.380817099601559,0
"101","DYETT, Elaine","Green Party",2017,"Mangere",0.045608466,0.0560937239120993,0.0501610076636348,0.0620908481387069,0
"102","SIO, Sua William","Labour Party",2017,"Mangere",0.724973545,0.738129844124876,0.721808558123761,0.755156520709206,1
"103","LOHENI, Agnes","National Party",2017,"Mangere",0.152380952,0.175825825544922,0.168836242143005,0.183012326784429,0
"104","SINGH, Bhupinder","ACT",2017,"Manukau East",NA,0.00498085045149946,0.00247554532232748,0.00835395552274552,0
"105","PARDEEP SINGH, Raj","Green Party",2017,"Manukau East",0.026520396,0.0442538377424963,0.0392144571660621,0.0493714792097022,0
"106","SALESA, Jenny","Labour Party",2017,"Manukau East",0.69538822,0.622073076111882,0.605676773143448,0.638715035941589,1
"107","BAKSHI, Kanwaljit Singh","National Party",2017,"Manukau East",0.173926936,0.2094613693617,0.201729172661792,0.216770012806534,0
"108","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manukau East",0.077869291,0.111524616465228,0.0922305658648453,0.136180314540132,0
"109","SINGH, Satnam","ACT",2017,"Manurewa",NA,0.00431072735280208,0.00212750872126609,0.00753548532195068,0
"110","TUIONO, Teanau","Green Party",2017,"Manurewa",0.043534068,0.055678406489105,0.0496245128239733,0.0615330270210193,0
"111","WALL, Louisa Hareruia","Labour Party",2017,"Manurewa",0.54230399,0.587287546030388,0.573723111472685,0.600806848341584,1
"112","BUNGARD, Katrina","National Party",2017,"Manurewa",0.295004813,0.296222561817076,0.286904171261389,0.305071823279864,0
"113","GENERIC NZ FIRST CANDIDATE","New Zealand First Party",2017,"Manurewa",0.052454675,0.12105185789612,0.101013887707643,0.146013231292758,0
"114","SWARBRICK, Chloe","Green Party",2017,"Maungakiekie",0.062571817,0.0841608984636023,0.0787699413471967,0.0899693511173946,0
"115","RADHAKRISHNAN, Priyanca","Labour Party",2017,"Maungakiekie",0.413350047,0.380998841142504,0.36773842364861,0.393179552240995,0
"116","LEE, Denise","National Party",2017,"Maungakiekie",0.483860859,0.436881727846966,0.42669250093425,0.446841623635152,1
"117","GENTER, Julie Anne","Green Party",2017,"Mt Albert",0.088277858,0.128130960525343,0.115741691253961,0.141831863471887,0
"118","ARDERN, Jacinda","Labour Party",2017,"Mt Albert",0.58714079,0.449487622337466,0.431422485146119,0.4662984532512,1
"119","LEE, Melissa","National Party",2017,"Mt Albert",0.288712012,0.349344024797158,0.340850363557414,0.357737805100819,0
"120","MENENDEZ MARCH, Ricardo","Green Party",2017,"Mt Roskill",0.050977148,0.0787901228652834,0.0737324735741318,0.0844402784811703,0
"121","WOOD, Michael","Labour Party",2017,"Mt Roskill",0.565194913,0.487650741377259,0.470918965142421,0.503205690418323,1
"122","PARMAR, Parmjeet","National Party",2017,"Mt Roskill",0.319822149,0.376781204393122,0.368153386575112,0.38514409357225,0
"123","BINDRA, Mahesh","New Zealand First Party",2017,"Mt Roskill",0.071978643,0.100413601525275,0.0763560600050273,0.128995552621647,0
"124","RUSDEN, Damon","Green Party",2017,"Napier",0.037916624,0.0692738939681847,0.0644686457943825,0.0745275006565556,0
"125","NASH, Stuart","Labour Party",2017,"Napier",0.427275507,0.331369720786272,0.318337718631262,0.344415667039711,0
"126","Elliot, David","National Party",2017,"Napier",0.320048925,0.40874118277384,0.4003014429638,0.417278430556818,1
"127","HUFFLETT, Paul","ACT",2017,"Nelson",0.00519507,0.000924284129331259,0.000290346168512443,0.00249658338969353,0
"128","LAWREY, Matt","Green Party",2017,"Nelson",0.091983294,0.112369043863873,0.104387227449587,0.121442085929603,0
"129","BOYACK, Rachel","Labour Party",2017,"Nelson",0.330752776,0.294222918121101,0.282607343999789,0.305645656337438,0
"130","SMITH, Nick","National Party",2017,"Nelson",0.533666089,0.53105357502966,0.519807174748458,0.541852274836748,1
"131","WELLS, Richard","ACT",2017,"New Lynn",NA,0.010813936315515,0.00548855986671801,0.0173078810370344,0
"132","LEILANI,Tamu","Green Party",2017,"New Lynn",0.079370013,0.0941208806533369,0.0882360046420741,0.100804923263138,0
"133","RUSSELL, Deborah","Labour Party",2017,"New Lynn",0.508962802,0.416232950435243,0.401997447917876,0.4299553932482,0.9991
"134","GARCIA, Paulo","National Party",2017,"New Lynn",0.368666459,0.383231631393361,0.373837728881115,0.392095722441534,9e-04
"135","BRAMHALL, Stuart","Green Party",2017,"New Plymouth",0.054818293,0.0748422877729666,0.0700636807305526,0.0798471854911797,0
"136","HADDOCK, Corie","Labour Party",2017,"New Plymouth",0.319314006,0.269281563009148,0.258062101551624,0.279977907517325,0
"137","YOUNG, Jonathan","National Party",2017,"New Plymouth",0.584218048,0.616260650777915,0.605939486250609,0.626791909058851,1
"138","KEARNEY, Nick","ACT",2017,"North Shore",0.015264829,0.00430992504869518,0.00168930985652884,0.00865565688772086,0
"139","GRAHAM, Kennedy","Green Party",2017,"North Shore",0.09896527,0.103643090053678,0.0971206176749059,0.11064889910277,0
"140","UDANGA, Romy","Labour Party",2017,"North Shore",0.193320357,0.184280960890365,0.175668188238718,0.193509231153164,0
"141","BARRY, Maggie","National Party",2017,"North Shore",0.631492675,0.667032882312556,0.655805045071685,0.678394181739976,1
"142","HAYCOCK, Bruce","ACT",2017,"Northcote",0.011072381,0.00429958734804753,0.00173265294435134,0.00829120886602828,0
"143","JAUNG, Rebekah","Green Party",2017,"Northcote",0.087758868,0.102462213621173,0.0960830314314902,0.109770838921793,0
"144","HALBERT, Shanan","Labour Party",2017,"Northcote",0.290444946,0.26566038691334,0.25491223038628,0.276405082282939,0
"145","COLEMAN, Jonathan","National Party",2017,"Northcote",0.570125077,0.581863576688343,0.571172150828165,0.592367200882231,1
