"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.00440687279473408,0.00212544180289495,0.00766782140975573
"2","Conservative Party",0.0399,0.00056104727162289,0.000267285242110839,0.00135177561185173
"3","Green Party",0.107,0.126804564945277,0.116865532382576,0.136673931411612
"4","Labour Party",0.2513,0.238606291823377,0.223015850089663,0.254947493004608
"5","Mana",0.0142,0.000894864483361475,0.000369238264381875,0.00310604966882957
"6","Maori Party",0.0132,0.0122074840651133,0.00915991395473016,0.015620947281685
"7","National Party",0.4704,0.452170325505048,0.436914290253643,0.466919804695657
"8","New Zealand First Party",0.0866,0.142649225862403,0.117569144309475,0.169914507965704
"9","United Future",0.0022,0.0030394888080597,0.00111630999551801,0.00679420153282824
