"","Party","2014 Percent","median","lowr","upr"
"1","ACT",0.0069,0.0018308585802866,0.000267222446073485,0.00784923378871994
"2","Conservative Party",0.0399,0.00203151366899733,3.19874066207922e-05,0.0372346553061426
"3","Green Party",0.107,0.112301722163826,0.0897941207995639,0.135037267173942
"4","Labour Party",0.2513,0.256719206610381,0.211923685642262,0.304812074735239
"5","Mana",0.0142,0.0011442674291348,2.71016582021081e-05,0.0207236950738547
"6","Maori Party",0.0132,0.0168628235585142,0.007596488134029,0.035176628157618
"7","National Party",0.4704,0.501496452840631,0.430628129241943,0.576547669949942
"8","New Zealand First Party",0.0866,0.0566350426145098,0.0189018498532087,0.152838835897752
"9","United Future",0.0022,0.00127886680551702,0.000129108301952514,0.0132204286674583
