"","Electoral District","Year","Party","2014 Percent","median","lowr","upr"
"1","Auckland Central",2017,"ACT",0.0117,0.00310449933179033,5e-04,0.0124167139953557
"2","Auckland Central",2017,"Conservative Party",0.0173,0.00088526918069657,5e-04,0.0162256810276138
"3","Auckland Central",2017,"Green Party",0.2217,0.225989954708013,0.187377964043712,0.245807906982354
"4","Auckland Central",2017,"Labour Party",0.2167,0.221185641459685,0.179763389982898,0.261863665286618
"5","Auckland Central",2017,"Mana",0.0196,0.00157941138105931,5e-04,0.0242338310075315
"6","Auckland Central",2017,"Maori Party",0.0056,0.00863977541567667,0.00322275254170927,0.0246035924210755
"7","Auckland Central",2017,"National Party",0.4493,0.474999729741232,0.406829268617126,0.533358066014349
"8","Auckland Central",2017,"New Zealand First Party",0.0518,0.0338763880765775,0.0113061873255913,0.110483358020973
"9","Auckland Central",2017,"United Future",0.0019,0.00110447587749197,5e-04,0.01097737572322
"10","Bay of Plenty",2017,"ACT",0.0025,0.000663354558074857,5e-04,0.00377498501641605
"11","Bay of Plenty",2017,"Conservative Party",0.0566,0.0028963141981171,5e-04,0.0530851760787826
"12","Bay of Plenty",2017,"Green Party",0.0723,0.0790377523806624,0.0603121584558472,0.112840368776089
"13","Bay of Plenty",2017,"Labour Party",0.1307,0.138128036863968,0.108422127691577,0.205529400362029
"14","Bay of Plenty",2017,"Mana",0.0051,5e-04,5e-04,0.0135140728610272
"15","Bay of Plenty",2017,"Maori Party",0.0057,0.0101915682673365,0.0032803016942398,0.0339652406507746
"16","Bay of Plenty",2017,"National Party",0.5766,0.617084509408624,0.534129268617126,0.704474798981843
"17","Bay of Plenty",2017,"New Zealand First Party",0.1394,0.09116541501689,0.0304263033433867,0.200332956597394
"18","Bay of Plenty",2017,"United Future",0.0021,0.00122073649617533,5e-04,0.0154365442186358
"19","Botany",2017,"ACT",0.0241,0.00639473793984162,0.000933342166720433,0.024977728335949
"20","Botany",2017,"Conservative Party",0.0453,0.00231807479107252,5e-04,0.0424868988757748
"21","Botany",2017,"Green Party",0.0435,0.0491702498743314,0.0362873982410699,0.0743028965820567
"22","Botany",2017,"Labour Party",0.2227,0.22838741772532,0.18474068735206,0.278633972872501
"23","Botany",2017,"Mana",0.0061,5e-04,5e-04,0.0132647120671316
"24","Botany",2017,"Maori Party",0.0021,0.0058891103883139,0.00120853220314098,0.02538114015035
"25","Botany",2017,"National Party",0.5965,0.629393713789886,0.554029268617126,0.693701203447766
"26","Botany",2017,"New Zealand First Party",0.0544,0.0355767473236644,0.0118736793535168,0.124719380778941
"27","Botany",2017,"United Future",0.0015,0.000871954640125238,5e-04,0.0128021100388715
"28","Christchurch Central",2017,"ACT",0.0049,0.00130017493382672,5e-04,0.00578643050340373
"29","Christchurch Central",2017,"Conservative Party",0.0311,0.00159143766009615,5e-04,0.0291687098242074
"30","Christchurch Central",2017,"Green Party",0.1582,0.162937747106557,0.131969342568672,0.185205857340786
"31","Christchurch Central",2017,"Labour Party",0.2625,0.267395478847642,0.217756759900834,0.311822932194122
"32","Christchurch Central",2017,"Mana",0.0103,0.000829996797189331,5e-04,0.0161765641515772
"33","Christchurch Central",2017,"Maori Party",0.0046,0.00795808194285093,0.00264726101640405,0.0250806007904803
"34","Christchurch Central",2017,"National Party",0.4466,0.474900118899692,0.404129268617126,0.540487262209312
"35","Christchurch Central",2017,"New Zealand First Party",0.0719,0.0470214730252108,0.0156933372337841,0.130924252367773
"36","Christchurch Central",2017,"United Future",0.0023,0.0013369971148587,5e-04,0.0120611612894895
"37","Christchurch East",2017,"ACT",0.0033,0.00087562801665881,5e-04,0.00431379730284283
"38","Christchurch East",2017,"Conservative Party",0.0326,0.00166819510350914,5e-04,0.0305755607803589
"39","Christchurch East",2017,"Green Party",0.1266,0.131849813023329,0.105608841777459,0.156512577286972
"40","Christchurch East",2017,"Labour Party",0.3216,0.326894379486694,0.267055859688636,0.375466960153355
"41","Christchurch East",2017,"Mana",0.0088,0.000709123477210302,5e-04,0.0154870269217934
"42","Christchurch East",2017,"Maori Party",0.004,0.00761708507508261,0.00230196610122091,0.026310154832853
"43","Christchurch East",2017,"National Party",0.3979,0.428791879342592,0.355429268617126,0.503123736708961
"44","Christchurch East",2017,"New Zealand First Party",0.0945,0.0618015187883508,0.0206261525534436,0.154450848057242
"45","Christchurch East",2017,"United Future",0.0023,0.0013369971148587,5e-04,0.012968245229735
"46","Clutha-Southland",2017,"ACT",0.0036,0.000955230563627793,5e-04,0.00455625282066751
"47","Clutha-Southland",2017,"Conservative Party",0.0504,0.00257905009867672,5e-04,0.0472701921266898
"48","Clutha-Southland",2017,"Green Party",0.0773,0.08229882064705,0.0644831237709127,0.105417185208941
"49","Clutha-Southland",2017,"Labour Party",0.1471,0.152326427408217,0.12202674050062,0.199546629890033
"50","Clutha-Southland",2017,"Mana",0.0046,5e-04,5e-04,0.0112733488578158
"51","Clutha-Southland",2017,"Maori Party",0.0033,0.0067739723226884,0.00189912203350725,0.0242687723952075
"52","Clutha-Southland",2017,"National Party",0.6338,0.6632736447703,0.591329268617126,0.72168607478738
"53","Clutha-Southland",2017,"New Zealand First Party",0.0624,0.0408086219300856,0.0136198086702104,0.121080237411974
"54","Clutha-Southland",2017,"United Future",0.002,0.00116260618683365,5e-04,0.0119231235388427
"55","Coromandel",2017,"ACT",0.0037,0.000981764745950788,5e-04,0.00495664836704065
"56","Coromandel",2017,"Conservative Party",0.0528,0.00270186200813751,5e-04,0.0495211536565322
"57","Coromandel",2017,"Green Party",0.0982,0.104610255249166,0.0819177587878865,0.136428463372326
"58","Coromandel",2017,"Labour Party",0.1571,0.164109551995914,0.13032223611589,0.227820702037674
"59","Coromandel",2017,"Mana",0.0068,0.000547959050571597,5e-04,0.0147544766100918
"60","Coromandel",2017,"Maori Party",0.0049,0.00926160378130534,0.00281990847399561,0.0318350346188466
"61","Coromandel",2017,"National Party",0.5417,0.581033073046322,0.499229268617126,0.663604060687033
"62","Coromandel",2017,"New Zealand First Party",0.125,0.0817480407253317,0.0272832705733381,0.187410220698225
"63","Coromandel",2017,"United Future",0.0017,0.000988215258808603,5e-04,0.0146509621131394
"64","Dunedin North",2017,"ACT",0.0032,0.000849093834335816,5e-04,0.00410712734591656
"65","Dunedin North",2017,"Conservative Party",0.0273,0.00139698547011655,5e-04,0.025604687401957
"66","Dunedin North",2017,"Green Party",0.2294,0.234249576088567,0.195077964043712,0.256937767186914
"67","Dunedin North",2017,"Labour Party",0.3182,0.323180117392996,0.263962670477887,0.368043266814018
"68","Dunedin North",2017,"Mana",0.0172,0.00138601406909286,5e-04,0.0228161936132914
"69","Dunedin North",2017,"Maori Party",0.0035,0.00696311030009323,0.0020142203385683,0.0248526198009766
"70","Dunedin North",2017,"National Party",0.3226,0.351697480674521,0.280129268617126,0.42197725527049
"71","Dunedin North",2017,"New Zealand First Party",0.0675,0.0441439419916791,0.0147329661096026,0.131525579923615
"72","Dunedin North",2017,"United Future",0.0025,0.00145325773354206,5e-04,0.0125752212767052
"73","Dunedin South",2017,"ACT",0.0033,0.00087562801665881,5e-04,0.00425158697682594
"74","Dunedin South",2017,"Conservative Party",0.0293,0.00149932872800055,5e-04,0.0274804886768256
"75","Dunedin South",2017,"Green Party",0.1229,0.127835202078065,0.10252232744431,0.151380526023575
"76","Dunedin South",2017,"Labour Party",0.3327,0.33762451735083,0.278155859688636,0.383523470045965
"77","Dunedin South",2017,"Mana",0.0082,0.00066077414921869,5e-04,0.0144803071853191
"78","Dunedin South",2017,"Maori Party",0.0025,0.0058897285880745,0.00143872881326307,0.0236906412184429
"79","Dunedin South",2017,"National Party",0.3987,0.427759925463803,0.356229268617126,0.499325878642624
"80","Dunedin South",2017,"New Zealand First Party",0.0911,0.0595779720806218,0.0198840475938488,0.148148890013006
"81","Dunedin South",2017,"United Future",0.0017,0.000988215258808603,5e-04,0.0118044306624758
"82","East Coast",2017,"ACT",0.0023,0.000610286193428868,5e-04,0.00348063836220713
"83","East Coast",2017,"Conservative Party",0.0408,0.00208780246083353,5e-04,0.0382663460073203
"84","East Coast",2017,"Green Party",0.0921,0.0981004181532831,0.0768291811035066,0.12753725785731
"85","East Coast",2017,"Labour Party",0.2274,0.233775956128937,0.188639570291237,0.292267439187786
"86","East Coast",2017,"Mana",0.0117,0.000942811895836423,5e-04,0.0190099030479578
"87","East Coast",2017,"Maori Party",0.0095,0.0136402968756634,0.00546716949039966,0.0345686784935361
"88","East Coast",2017,"National Party",0.4862,0.522488294827047,0.443729268617126,0.602347932732507
"89","East Coast",2017,"New Zealand First Party",0.1184,0.0774317441750342,0.0258427138870659,0.179548772769415
"90","East Coast",2017,"United Future",0.0022,0.00127886680551702,5e-04,0.0142516054765401
"91","East Coast Bays",2017,"ACT",0.0176,0.00467001608884699,0.000681610876941064,0.0187410085096048
"92","East Coast Bays",2017,"Conservative Party",0.067,0.00342849913911388,5e-04,0.0628393427080996
"93","East Coast Bays",2017,"Green Party",0.0823,0.0887577575028344,0.0686540890859782,0.118194736942645
"94","East Coast Bays",2017,"Labour Party",0.1215,0.128280085113607,0.100790271725529,0.188296411649541
"95","East Coast Bays",2017,"Mana",0.0067,0.000539900829239662,5e-04,0.0150961001276125
"96","East Coast Bays",2017,"Maori Party",0.0038,0.00823380858110966,0.00218686779615986,0.0304414829217862
