"","Electorate","Party","2014 Vote","MEPVSim$Pred","median","lowr","upr"
"1","Hauraki-Waikato","ACT",0.0021,0.0111391638572498,0.00406869337931264,0.000414400834748268,0.0226514657346751
"2","Hauraki-Waikato","Conservative Party",0.0076,0.00188851379710727,0.0098719808172581,0.000554201231447174,0.0510507951151434
"3","Hauraki-Waikato","Green Party",0.0977,0.117043997430049,0.106188700916799,0.0531138722330835,0.160544011067837
"4","Hauraki-Waikato","Labour Party",0.465,0.46467675711342,0.486420052726506,0.391441893002104,0.600805278925836
"5","Hauraki-Waikato","Mana",0.0808,0.0348774141727989,0.0671135540134867,0.0180299363419775,0.11651009874888
"6","Hauraki-Waikato","Maori Party",0.1197,0.143155717578733,0.0916050439158253,0.034316355179084,0.150778909672579
"7","Hauraki-Waikato","National Party",0.0757,0.0443405299052626,0.0780098879667125,0.0289441745798289,0.126279568815927
"8","Hauraki-Waikato","New Zealand First Party",0.1337,0.180991873857667,0.142240326229798,0.00381995387809214,0.263671996646804
"9","Hauraki-Waikato","United Future",7e-04,0.00188603228771172,0.00287677271729938,0.000283890076461708,0.0105705372853845
"10","Ikaroa Rawhiti","ACT",0.0011,0.00284721452139213,0.00372105195471374,0.000359988225440374,0.0174950667684125
"11","Ikaroa Rawhiti","Conservative Party",0.006,7.1798113564805e-05,0.00839448987860174,0.000562861137389656,0.0442067942094756
"12","Ikaroa Rawhiti","Green Party",0.1043,0.1389659337339,0.113041325624686,0.0600768292672941,0.169161391832593
"13","Ikaroa Rawhiti","Labour Party",0.4809,0.459024875385942,0.502156104642911,0.41019431918652,0.610967773004181
"14","Ikaroa Rawhiti","Mana",0.0987,0.139660756987836,0.0848119214851808,0.0301935110144552,0.138975043315361
"15","Ikaroa Rawhiti","Maori Party",0.1237,0.0398004225668278,0.0962834604829261,0.0366088094444147,0.15556653054773
"16","Ikaroa Rawhiti","National Party",0.0545,0.054288493363612,0.0570772637185395,0.0160269783021953,0.0989533859992008
"17","Ikaroa Rawhiti","New Zealand First Party",0.1142,0.161866450767629,0.12175605549526,0.00269600530115332,0.239557601997962
"18","Ikaroa Rawhiti","United Future",3e-04,0.00347405455929614,0.00245588496834701,0.000236321047382383,0.00573292272567881
"19","Tamaki Makaurau","ACT",0.0019,0.00357990921230209,0.00388427239154139,0.00040973605031325,0.0221225690199268
"20","Tamaki Makaurau","Conservative Party",0.0062,0.0449701173977669,0.00917051714547286,0.000597915083250397,0.0463502123503685
"21","Tamaki Makaurau","Green Party",0.1181,0.180275457815477,0.125368890647064,0.0700327398835888,0.186438624580246
"22","Tamaki Makaurau","Labour Party",0.4084,0.333087340325492,0.427187163396899,0.338563571662557,0.534735990459362
"23","Tamaki Makaurau","Mana",0.1082,0.0996894505713658,0.0923192566515049,0.0365491115575421,0.150228037274789
"24","Tamaki Makaurau","Maori Party",0.1284,0.117926296215311,0.10119405656037,0.0402338468280562,0.160822565613737
"25","Tamaki Makaurau","National Party",0.0763,0.0843694878578807,0.0776835244455314,0.0294359262898688,0.126886093907078
"26","Tamaki Makaurau","New Zealand First Party",0.1412,0.133840635472081,0.149671433440473,0.00380931687763138,0.274276864576144
"27","Tamaki Makaurau","United Future",8e-04,0.00226130513232357,0.00297900644289826,0.000283891424195587,0.0111257523479963
"28","Te Tai Hauauru","ACT",0.0013,0.00716957745301827,0.00370967302825529,0.000418745736720266,0.0184633414216464
"29","Te Tai Hauauru","Conservative Party",0.0057,3.46101798771861e-05,0.00823598152347391,0.000674217967567065,0.0445379089815734
"30","Te Tai Hauauru","Green Party",0.1193,0.171055127828133,0.12751865368838,0.0701875181528206,0.186418517133763
"31","Te Tai Hauauru","Labour Party",0.4223,0.47155951644069,0.445038850330702,0.354022163900713,0.548893416439267
"32","Te Tai Hauauru","Mana",0.0682,0.0239217752020692,0.0550281576086011,0.00742309231994809,0.101551212373797
"33","Te Tai Hauauru","Maori Party",0.1764,0.122652757185292,0.148238852435927,0.0797138428774038,0.216639869512794
"34","Te Tai Hauauru","National Party",0.0711,0.114520263038172,0.0732030478508729,0.0267369534729737,0.120823502466952
"35","Te Tai Hauauru","New Zealand First Party",0.1179,0.0866569140810422,0.124947193318635,0.00321444393539166,0.246296339566736
"36","Te Tai Hauauru","United Future",7e-04,0.002429458591706,0.002909138310043,0.000255732045256658,0.0100954247696122
"37","Te Tai Tokerau","ACT",0.0016,0.00442915063225357,0.00389170680171981,0.000439455377590978,0.0206908872113896
"38","Te Tai Tokerau","Conservative Party",0.0068,0.00271620731207075,0.0089514911464968,0.000594279257821911,0.0485940364570632
"39","Te Tai Tokerau","Green Party",0.1006,0.103006577174089,0.109647613131489,0.0568298423919216,0.165687502540945
"40","Te Tai Tokerau","Labour Party",0.3547,0.425908668653231,0.376944402425894,0.290567045596744,0.476934037846191
"41","Te Tai Tokerau","Mana",0.1875,0.131941783760764,0.171586971097269,0.102652109462851,0.246009625965885
