"","Party","2014 Seats","median","lowr","upr"
"1","ACT",1,0,0,1
"2","Conservative Party",0,0,0,4
"3","Green Party",14,14,10,17
"4","Labour Party",32,32,26,39
"5","Mana",0,1,0,2
"6","Maori Party",2,2,1,4
"7","National Party",60,64,54,72
"8","New Zealand First Party",11,6,1,18
"9","United Future",1,0,0,1
